角色名,vote_01,vote_02,vote_03,vote_04,vote_05,vote_06,vote_07,vote_08,vote_09,vote_10,vote_11,vote_12,vote_13,vote_14,vote_15,vote_16,vote_17,vote_18,vote_19,vote_20,vote_21
北白河千百合,,9.0,37.0,21.0,70.0,115.0,150.0,121.0,130.0,95.0,118.0,197.0,176.0,149.0,128.0,179.0,180.0,207.0,216.0,203.0,418.0
盖茨,,8.0,6.0,,,,,,,,,,,,,,,,,,
小恶魔,,7.0,65.0,148.0,455.0,823.0,1031.0,1124.0,1451.0,740.0,745.0,1558.0,1358.0,1168.0,862.0,1069.0,1141.0,1831.0,1628.0,1611.0,2289.0
雪&舞,,6.0,,,,,,,,,,,,,,,,,,,
其他（毛玉）,,6.0,,,,,,,,,,,,,,,,,,,
VIVIT,,5.0,6.0,,,,,,,,,,,,,,,,,,
爱莲1,,3.0,,,,,,,,,,,,,,,,,,,
缪斯,,2.0,,,,,,,,,,,,,,,,,,,
卡娜·安娜贝拉尔,,2.0,3.0,9.0,35.0,105.0,142.0,160.0,198.0,147.0,199.0,275.0,281.0,249.0,201.0,279.0,290.0,326.0,322.0,358.0,648.0
神绮,,1.0,29.0,91.0,320.0,451.0,722.0,685.0,836.0,563.0,561.0,1116.0,899.0,722.0,567.0,726.0,661.0,921.0,903.0,1428.0,2055.0
露易兹,,1.0,,1.0,12.0,18.0,23.0,36.0,32.0,31.0,58.0,61.0,74.0,47.0,48.0,63.0,61.0,221.0,77.0,87.0,108.0
VIVIT（原创）,,1.0,,,,,,,,,,,,,,,,,,,
铃仙·优昙华院·因幡,,,1482.0,891.0,1489.0,2086.0,2643.0,3150.0,3302.0,2346.0,3219.0,5381.0,4839.0,3716.0,2747.0,4257.0,5249.0,6575.0,6194.0,6491.0,8609.0
上白泽慧音,,,996.0,616.0,1830.0,2214.0,2729.0,2718.0,3046.0,1608.0,1514.0,2302.0,1776.0,1354.0,1079.0,1347.0,1555.0,1812.0,1709.0,1926.0,2688.0
藤原妹红,,,609.0,367.0,2544.0,4162.0,5441.0,5349.0,6129.0,3934.0,5290.0,7534.0,6298.0,5144.0,3823.0,5657.0,6589.0,8728.0,8748.0,9377.0,12665.0
八意永琳,,,387.0,387.0,1298.0,1581.0,1765.0,1680.0,1725.0,1133.0,1034.0,1684.0,1505.0,1166.0,1014.0,1346.0,1724.0,2011.0,1829.0,3100.0,4889.0
