角色名,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21
神绮,,0.000526732,0.009004374,0.037953043,0.049648555,0.044054152,0.053263232,0.0420621,0.040373448,0.042973767,0.055619664,0.087339656,0.082491436,0.083506454,0.095248305,0.0885536,0.069731179,0.083632328,0.083502143,0.155473998,0.182351535
埴安神袿姬,,,,,,,,,,,,,,,,0.366220581,0.273366737,0.234537003,0.209598952,0.159166895,0.178482331
莉格露·奈特巴格,,,0.025726782,0.048951447,0.055366507,0.073946941,0.070878525,0.057402228,0.06189475,0.052554117,0.065337479,0.055606768,0.079096152,0.062639723,0.085984135,0.071700006,0.103411713,0.108951148,0.103041306,0.141188718,0.174874839
因幡天为（因幡帝）,,,0.076151273,0.088329154,0.11691119,0.106010113,0.086748067,0.101161413,0.079257951,0.092457542,0.119755105,0.121019327,0.15243656,0.143871084,0.141591722,0.136329528,0.180727943,0.159646482,0.17245079,0.148252839,0.171286176
赤蛮奇,,,,,,,,,,0.1806596,0.168173222,0.176822961,0.179209832,0.158465937,0.169711468,0.157661363,0.176653014,0.144014528,0.180362554,0.1666692,0.167763412
菅牧典,,,,,,,,,,,,,,,,,0.221782158,0.204168704,0.265106883,0.17834311,0.164261359
村纱水蜜,,,,,,,0.167780453,0.127722209,0.099720188,0.132509798,0.101094122,0.099320344,0.101949173,0.134867337,0.145890929,0.153299492,0.243265626,0.19442964,0.205217178,0.162874989,0.160781899
霍青娥,,,,,,,,,0.238684414,0.229415753,0.193998355,0.188494289,0.190702435,0.194858641,0.185305966,0.205096206,0.20261336,0.199284062,0.200876355,0.174409592,0.157332565
八坂神奈子,,,,,0.127691621,0.222641248,0.263338711,0.220497748,0.203137335,0.200343967,0.134697781,0.103407653,0.132812648,0.13932529,0.116535584,0.120804157,0.126738602,0.115607778,0.139277622,0.131239679,0.153905825
克劳恩皮丝,,,,,,,,,,,,0.483702326,0.407139539,0.316663958,0.298569188,0.270391846,0.237676459,0.250581047,0.192555079,0.182314621,0.150641008
莉莉霍瓦特（莉莉白）,,0.063734527,0.052071006,0.071062229,0.03408457,0.021819273,0.029779567,0.033396539,0.031357714,0.028151235,0.031076706,0.029382998,0.032929349,0.040367529,0.066434592,0.107072491,0.086817467,0.069214666,0.094105763,0.115693039,0.147395018
本居小铃,,,,,,,,,,0.187064874,0.15665502,0.171148227,0.214099305,0.223863881,0.196042699,0.199843502,0.15673576,0.125934758,0.153654208,0.137837756,0.14420928
绵月丰姬,,,,,0.006959165,0.012598995,0.014434259,0.016847594,0.015037947,0.022931102,0.020792598,0.021005265,0.025326782,0.022746538,0.03072071,0.032069983,0.050628218,0.046382123,0.041955827,0.035971551,0.14108944
依神女苑,,,,,,,,,,,,,,0.229982036,0.367751436,0.226781164,0.119746079,0.155657449,0.135764012,0.151857086,0.138022319
小野塚小町,,,,0.14805106,0.17407676,0.235940615,0.205153784,0.200621,0.211867785,0.193701664,0.174001774,0.155130228,0.13759777,0.130532363,0.155093037,0.175498084,0.148994782,0.122467706,0.10001638,0.12475558,0.135056871
永江衣玖,,,,,,0.498210589,0.345740214,0.340668405,0.350980515,0.285580416,0.254570418,0.242594878,0.234244408,0.211956975,0.219677052,0.184767561,0.13401526,0.180715279,0.150023206,0.127979899,0.132129079
姬海棠果,,,,,,,,0.191429249,0.162013553,0.168058518,0.129611822,0.130559505,0.196545043,0.178950558,0.180064545,0.140438595,0.141444382,0.112250617,0.112315379,0.118646343,0.12920317
二岩猯藏,,,,,,,,,0.094272449,0.161851686,0.20117319,0.150036717,0.147356852,0.153568778,0.120417283,0.117084328,0.116378026,0.119008896,0.142832182,0.134517188,0.126328097
稗田阿求,,,,,0.061126297,0.057453572,0.065982278,0.053344394,0.089199878,0.137779542,0.088224295,0.111982251,0.142424437,0.126214957,0.133015877,0.144692121,0.109718151,0.091448305,0.106077152,0.299699604,0.123479384
幻月,0.001838235,0.001053463,0.000668896,0.001538637,0.003068169,0.00806582,0.013497763,0.015548708,0.016374479,0.015930501,0.029436591,0.037873225,0.040550799,0.038329607,0.039595581,0.048743003,0.040111714,0.03916505,0.036563925,0.061459631,0.12065703
吉吊八千慧,,,,,,,,,,,,,,,,0.284292049,0.207339723,0.17197622,0.270976549,0.144696716,0.117868568
森近霖之助,,,0.016928222,0.063027126,0.097316747,0.132978273,0.150226235,0.135107845,0.128674488,0.106877677,0.110224274,0.091239473,0.097806095,0.097605003,0.105324923,0.13232078,0.12322155,0.132923807,0.115517759,0.12169083,0.115085753
今泉影狼,,,,,,,,,,0.256431458,0.215848746,0.228192428,0.280014654,0.28477752,0.275053317,0.243771192,0.172578085,0.147857955,0.164760163,0.101407759,0.112382018
星熊勇仪,,,,,,0.123550192,0.111860421,0.113022043,0.105304706,0.116915546,0.124568602,0.125781604,0.12348789,0.113526262,0.112670812,0.124600229,0.16063397,0.140209562,0.118777471,0.112752399,0.10975736
宇佐见堇子,,,,,,,,,,,0.208460215,0.194537756,0.208245367,0.236130936,0.23870753,0.189438414,0.216899866,0.167805867,0.125359688,0.106992695,0.107196719
庭渡久侘歌,,,,,,,,,,,,,,,,0.221331835,0.164552971,0.176338881,0.128785935,0.104166033,0.104662438
少名针妙丸,,,,,,,,,,0.338680249,0.351428022,0.257644173,0.202395205,0.200361907,0.159939518,0.166481411,0.145217849,0.105753328,0.091427557,0.088140685,0.102169578
苏我屠自古,,,,,,,,,0.058158711,0.059626377,0.058814416,0.083852319,0.110307086,0.121906335,0.150297334,0.17097169,0.137729821,0.136456794,0.10918944,0.095944399,0.099746384
奥野田美宵,,,,,,,,,,,,,,,,0.074440721,0.08421866,0.062648696,0.088765732,0.090691266,0.097326954
冈崎梦美,0.005514706,0.005794048,0.006277335,0.006667426,0.015438469,0.029053882,0.049588501,0.049367149,0.065994232,0.07531985,0.076107745,0.073680921,0.07584816,0.059894678,0.092049289,0.079998395,0.062946562,0.060618465,0.064926697,0.077178505,0.095012963
宫出口瑞灵,,,,,,,,,,,,,,,,,,0.015131951,0.019110541,0.037255707,0.092714035
堀川雷鼓,,,,,,,,,,0.143622563,0.114962977,0.140165305,0.128118166,0.148719931,0.137298157,0.113500933,0.100303541,0.088810928,0.071631767,0.075147159,0.090441466
梅蒂欣·梅兰可莉,,,,0.043252792,0.045185764,0.047902348,0.061610265,0.075458639,0.070093714,0.071290371,0.068665791,0.052838148,0.066765114,0.074177694,0.061131109,0.094560703,0.076747957,0.097025258,0.078653526,0.079263042,0.088183959
绵月依姬,,,,,0.002384804,0.017440026,0.043114461,0.038814885,0.03393308,0.039870351,0.040933423,0.047454026,0.05231155,0.044513644,0.069120186,0.061507594,0.089433599,0.081102094,0.073960523,0.073153805,0.086052602
高丽野阿吽,,,,,,,,,,,,,,0.277201196,0.190637659,0.103886359,0.074336265,0.071475667,0.086128477,0.098667214,0.083928777
豫母都日狭美,,,,,,,,,,,,,,,,,,,0.238226542,0.10985735,0.081850138
露娜切露德,,,,0.003818099,0.030862992,0.03454141,0.040014862,0.070855653,0.050803874,0.037246504,0.036232116,0.039863756,0.042560022,0.034618307,0.053452342,0.059212295,0.045136074,0.043371117,0.048150373,0.059648643,0.079786563
宫古芳香,,,,,,,,,0.122499863,0.05605993,0.052622581,0.064275112,0.069752511,0.071230614,0.071822706,0.085640336,0.097427528,0.09419832,0.076289279,0.081352644,0.077817129
若鹭姬,,,,,,,,,,0.067304989,0.049625498,0.058444135,0.060899845,0.068336239,0.082999515,0.082819366,0.072025059,0.066972895,0.058702121,0.057862983,0.075860874
蕾蒂·霍瓦特洛克,0.016544118,0.037661312,0.038538719,0.027638477,0.06742999,0.080027091,0.092255073,0.089959706,0.054469568,0.046082695,0.043775577,0.042279268,0.047027899,0.046889755,0.048487379,0.056925022,0.058656798,0.058599223,0.056812908,0.08349037,0.0739178
妖精（女仆妖精、向日葵妖精等）,,,,0.002735354,0.003333147,0.001647028,0.004499254,0.006219483,0.007202426,0.005093351,0.00591403,0.005927847,0.00649976,0.006460737,0.00571535,0.006829719,0.0052981,0.002458805,0.005097054,0.004072825,0.072066983
姬虫百百世,,,,,,,,,,,,,,,,,0.189227773,0.102734081,0.06712441,0.069177229,0.070238761
日白残无,,,,,,,,,,,,,,,,,,,0.168590461,0.093257044,0.068412421
露娜萨·普莉兹姆利巴,,0.250987622,0.08880885,0.163209483,0.13896017,0.114399181,0.118807799,0.107068026,0.084142939,0.087821711,0.096659935,0.095242411,0.089780534,0.101439282,0.101872017,0.100752393,0.106540677,0.099876922,0.096999645,0.085704082,0.066587965
先代巫女,,,,,,,,,,,,,,,,,,,,,0.064763508
秋穰子,,,,,0.014057793,0.068367056,0.141843575,0.157881014,0.141508328,0.101966232,0.072287934,0.070406075,0.08604912,0.086730235,0.089013891,0.063995506,0.079201231,0.078635047,0.069338502,0.067204138,0.062984239
秋静叶,,,,,0.017112016,0.062887225,0.126340488,0.14257881,0.148089384,0.11183322,0.080050432,0.077046388,0.093712115,0.105392146,0.098543235,0.066495456,0.081703015,0.086198276,0.081036883,0.063356737,0.061206853
梦月,,,0.000565989,0.000797812,0.000683365,0.002293525,0.00353731,0.004456032,0.006256692,0.009574838,0.017293329,0.017667922,0.022592426,0.018262233,0.019634172,0.02494332,0.022231924,0.022343529,0.020532911,0.034712724,0.059442646
寅丸星,,,,,,,0.226927325,0.254088647,0.177602526,0.207068953,0.140104284,0.135340531,0.118963362,0.093770725,0.108862459,0.097634478,0.067440765,0.064780576,0.060738759,0.056087454,0.057725511
幽谷响子,,,,,,,,,0.110932212,0.097109909,0.092423417,0.10763558,0.106118688,0.109454812,0.124473883,0.091506992,0.06079475,0.051335447,0.049804799,0.045330436,0.056070508
天火人血枪,,,,,,,,,,,,,,,,,,,0.146408583,0.071162984,0.054443748
骊驹早鬼,,,,,,,,,,,,,,,,0.128400313,0.094749025,0.076242177,0.122048104,0.065266507,0.052828285
黑谷山女,,,,,,0.037512218,0.046315854,0.080180137,0.074576178,0.063435366,0.062041222,0.067334344,0.072773898,0.065459433,0.077323659,0.052679521,0.056563893,0.056700861,0.046501406,0.05122438,0.051229767
斯塔萨菲雅,,,,0.005983588,0.012705009,0.011529196,0.015426742,0.028622896,0.02504631,0.032324034,0.034426387,0.034292143,0.034745958,0.03640588,0.041677481,0.054794246,0.038455408,0.041945285,0.053187365,0.054337254,0.049682085
蓬莱人形封面的少女（夹克子）,,,,,,,,,,,,,,0.001076058,0.022906535,0.025970586,0.02136219,0.025046841,0.028016053,0.042503774,0.0481457
桑尼米尔克,,,,0.003419193,0.019468928,0.015469749,0.025193789,0.035923205,0.029122344,0.030207317,0.027796476,0.032507851,0.031214711,0.029646482,0.037553176,0.050693204,0.029986763,0.029159501,0.033989462,0.043909506,0.04669216
清兰,,,,,,,,,,,,0.036076434,0.063819261,0.049274649,0.050964218,0.06905961,0.048736287,0.035184259,0.062832728,0.052741558,0.045274393
云居一轮,,,,,,,0.057253521,0.084920597,0.037106368,0.08357174,0.105587076,0.061284627,0.057987982,0.080335379,0.046157231,0.046796814,0.041771485,0.037818889,0.030298397,0.031186995,0.043945119
C62社团Cut的少女（冴月麟）,,,,,,,,,,,,,,,,,,,,0.027950012,0.042619611
杖刀偶磨弓,,,,,,,,,,,,,,,,0.162039285,0.130307629,0.073852054,0.054931885,0.049729998,0.041311048
豪德寺三花,,,,,,,,,,,,,,,,,0.092080916,0.049632141,0.040530727,0.030100402,0.040047673
卡娜·安娜贝拉尔,,0.00316039,0.000977618,0.005356736,0.006471048,0.008873941,0.01030655,0.011988623,0.01378739,0.014717799,0.018356466,0.016705467,0.020243297,0.019355859,0.02517462,0.027090147,0.023236796,0.023239139,0.023841765,0.023829063,0.038805009
丁礼田舞,,,,,,,,,,,,,,0.090235108,0.074570361,0.041355511,0.065185,0.054862939,0.043402768,0.041168961,0.037584939
九十九弁弁,,,,,,,,,,0.034694316,0.038134009,0.030945424,0.044599458,0.051830835,0.043877862,0.044882727,0.036816427,0.033953483,0.031496901,0.026886214,0.036366752
梅露兰·普莉兹姆利巴,,0.02580985,0.022433754,0.023877365,0.027766931,0.026444805,0.027463774,0.026465987,0.019594663,0.01991037,0.02483679,0.022245832,0.028136672,0.031249588,0.029112739,0.036480006,0.043438187,0.044840906,0.044928881,0.039841747,0.035157978
爱丽丝的人偶（上海、蓬莱、大江户等）,,,0.000823257,0.055105995,0.02211871,0.040583079,0.032110629,0.024370704,0.023072775,0.017214863,0.019553162,0.026470634,0.029568055,0.025135825,0.024040577,0.028253847,0.035232888,0.036486464,0.039152038,0.038542395,0.033964268
爱塔妮缇拉尔瓦,,,,,,,,,,,,,,0.054417765,0.063765925,0.043032844,0.028791312,0.040535937,0.025872942,0.032329311,0.032851519
三头慧之子,,,,,,,,,,,,,,,,,,,0.157334353,0.046774161,0.031748184
尔子田里乃,,,,,,,,,,,,,,0.077247752,0.058518861,0.039694228,0.054550684,0.047931582,0.029102624,0.024799145,0.030691919
胡桃,,,0.000463082,0.000227946,0.001603816,0.002724523,0.003837599,0.005484712,0.008785162,0.007766808,0.010225342,0.01077762,0.015072948,0.014261056,0.014911815,0.01585843,0.019005939,0.01698361,0.015850829,0.013168293,0.029686491
影华扇（断善修恶的怪臂 - 茨木童子之臂）,,,,,,,,,,,,,,,,0.010754198,0.00872506,0.008549498,0.010568129,0.016440736,0.028707422
莉莉卡·普莉兹姆利巴,,0.044772189,0.019243633,0.015614315,0.040918219,0.031693745,0.034553663,0.022294383,0.017925951,0.026139251,0.032722163,0.0250582,0.02671662,0.028087297,0.033993072,0.033522602,0.033843392,0.031508415,0.035275328,0.029021408,0.027732119
封兽魑魅,,,,,,,,,,,,,,,,,,,,,0.02676623
无名的读书妖怪（朱鹭子）,,,0.00751222,0.009516754,0.008688497,0.013722668,0.023320796,0.030898317,0.027031569,0.02451864,0.023442425,0.019774073,0.023955827,0.020453877,0.027657102,0.030725708,0.032467757,0.032728202,0.032719976,0.025832548,0.025804107
梦子,,,0.000154361,0.004843857,0.005508758,0.004687103,0.008285957,0.011230149,0.012329709,0.013135773,0.016438546,0.015846132,0.019182035,0.015648951,0.017569199,0.017347164,0.020520177,0.019170435,0.021319173,0.019718246,0.024857047
