角色名,score_01,score_02,score_03,score_04,score_05,score_06,score_07,score_08,score_09,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21
古明地恋,,,,,,0.18616804303822798,0.4398835487105361,0.5836027494666983,0.6134841296514855,0.9238808685154868,1.0,0.9175163664203241,0.9257342916167823,0.9299025399349095,0.8948443371209984,0.924744688108184,0.8746647539449884,0.7854658542079902,0.8622621420186192,0.8492143095954531,1.0
雾雨魔理沙,0.8253676470588235,0.8514616802739005,1.0,1.0,0.9452331808546246,0.9140159007473198,0.9238994895076778,0.86,0.8605316429972723,0.959683153908485,0.9188436922353646,0.9517928847085293,0.9596871353090691,0.9623423795364607,0.9611435212872795,0.8891715655785397,0.9551238071477578,0.9540574398760433,1.0,0.9443811231674822,0.9478683604554176
博丽灵梦,0.6507352941176471,0.7113510666315512,0.5463853871880627,0.9258604969227262,1.0,1.0,1.0,1.0,1.0,1.0,0.9580141252898249,1.0,1.0,1.0,1.0,0.960510423145603,0.9141804749925501,0.9085132335891956,0.9519178792759835,1.0,0.8959909021929254
芙兰朵露·斯卡蕾特,0.27941176470588236,0.10534632604687912,0.17736043220993053,0.35502621381354,0.5985858529510208,0.6057445875118332,0.7040773220275147,0.738160701588054,0.8291582970541569,0.8582240523005518,0.8468923293906465,0.8515569582675812,0.828857273424252,0.8389734850647611,0.8326017535347152,0.8545574928271905,0.8376473523358074,1.0,0.9068797946981899,0.8930934216791789,0.8443864534556416
十六夜咲夜,1.0,1.0,0.7897607409313095,0.8549122407111922,0.8386700881401317,0.9558304022904465,0.8894628887859648,0.9612467409338706,0.9263421992606082,0.8904598898645631,0.8802342105544336,0.8834148399293783,0.8601361890482251,0.8676493194485315,0.803139210796538,0.787179229951245,0.8018357970020167,0.8233424359474503,0.7860902563542548,0.771410190166459,0.7993549443907839
蕾米莉亚·斯卡蕾特,0.22058823529411764,0.2936528838556755,0.4235657319269359,0.42933667654433555,0.7946836996541337,0.831702980812893,0.8550415570270311,0.8928039819862527,0.8925967032194024,0.7983000115757967,0.7859089014969388,0.7905816914832118,0.7978804965650599,0.8104381969668355,0.8633675991017931,0.8204610661904858,0.7671330658295045,0.7493392820839675,0.7501269485926452,0.7348434191463279,0.7620674917202801
魂魄妖梦,,0.5657097708717409,0.8824800617442758,0.5216548894460907,0.5292591766149727,0.5234316675774064,0.6231111020628368,0.6328134629059019,0.7700968399990621,0.7702479976627915,0.8149875522219017,0.8207959001921785,0.8922195491334283,0.8981127269053903,0.9275735999368095,1.0,1.0,0.8654388210924235,0.8236315487728303,0.807997223995218,0.7250925878855318
古明地觉,,,,,,0.577621968583325,0.7596156293103009,0.7671391324958521,0.7151973925888873,0.7432598545859448,0.7291887040420554,0.7621736481102448,0.7694303551263506,0.7827505786554112,0.7742577944279573,0.7556670211271844,0.711445837404797,0.6896988444991456,0.6919135111523657,0.6999280670293709,0.6903827216978556
藤原妹红,,,0.262464625675328,0.2355824025529975,0.6340650451857637,0.7592337471427142,0.731770130855011,0.6832614363593269,0.661247586816004,0.6655697221257573,0.7574499684798752,0.6863022045841601,0.6943262116708652,0.7365503792553683,0.7057074508299387,0.7312293092032663,0.7342772199006217,0.713676998225265,0.715796227033225,0.6747996514796916,0.6649570621915698
琪露诺,0.5367647058823529,0.08085330524097972,0.06411113969642397,0.21466833827216777,0.43968258395626464,0.45574959016708866,0.4231742137756582,0.42657501777672435,0.41745542937089175,0.36061362746881426,0.29446207434475535,0.33280939955939565,0.3542123808912338,0.41995230210424145,0.4981042867943264,0.49041150859733956,0.545849879068865,0.577511414897884,0.577837232793688,0.6510491069167097,0.641111092282868
