角色名,rvs_01,rvs_02,rvs_03,rvs_04,rvs_05,rvs_06,rvs_07,rvs_08,rvs_09,rvs_10,rvs_11,rvs_12,rvs_13,rvs_14,rvs_15,rvs_16,rvs_17,rvs_18,rvs_19,rvs_20,rvs_21
红美铃,0.4136029411764706,1.8140637345272583,1.6423977360432211,1.808582174606793,1.9939473390605822,2.00737314420731,2.1962876061829117,2.0933870585446788,2.250846079894953,2.1429280150816097,2.321120620572491,2.2634376513600922,2.2987094898009284,2.339674020458269,2.482910371130996,2.3939086294416243,2.3141576054942234,2.600014285792779,2.556335144284583,2.9141312827371,3.0438020247892648
小兔姬,0.3216911764705882,0.011061364234922308,0.01852328273732956,0.036414406200136765,0.027529844917996205,0.030754785232161685,0.04102261333387623,0.04368807774354112,0.03665694879751139,0.060475269137272414,0.0753491254500967,0.0691811321344312,0.09451278235811753,0.08496022979317736,0.09129890206610171,0.0770690796733613,0.07138055538230177,0.10400057143171117,0.10142783040760053,0.09398650496945382,0.09320733473038897
冥&舞,0.2297794117647059,0.022122728469844616,,,,,,,,,,,,,,,,,,,
露米娅,0.2297794117647059,0.39820911245720303,0.7656290198096218,0.8132550718030546,0.866534642418833,1.132108580708222,1.3379683118125787,1.4398862289642096,1.534667781746559,1.72924211605563,2.105181053733799,2.2211896317360122,2.358853987665185,2.303729307853463,2.324449058349601,2.4264842198190246,2.659639493544564,3.0245880471870725,2.90897376395752,2.831686980132316,2.9385276690446736
幽香,0.2297794117647059,0.07742954964445616,0.11113969642397736,,,,,,,,,,,,,,,,,,
埃利希,0.13786764705882354,,0.00926164136866478,,,,,,,,,,,,,,,,,,
爱莲·蓬松头·奥瑞斯（爱莲）,0.13786764705882354,,,,,,,,,,,,,,,,,,,,
朝仓理香子,0.13786764705882354,0.011061364234922308,0.012348855158219707,0.024276270800091176,0.028840789914091263,0.015792997821920868,0.03281809066710099,0.030945721735008296,0.035562711519973735,0.03155231433248996,0.03583677917748501,0.03115791447275909,0.04031664142549069,0.04084626432364296,0.04617415736676408,0.04608254248510262,0.04639736099849616,0.05771460282748806,0.056021185399546806,0.052764353667061795,0.07406654277682695
Vivit,0.09191176470588235,,,,,,,,,,,,,,,,,,,,
蕾蒂·霍瓦特洛克,0.09191176470588235,0.28759547010798,0.3581167995883715,0.26703897880100297,0.592547138234966,0.656656225227236,0.6828687327269859,0.6450059255747808,0.5131972831651594,0.4943195912090093,0.48885042365184683,0.4082214896176742,0.4249770563375494,0.44195657998181687,0.43340743164712653,0.4218936217170603,0.43113855450910277,0.39485931241380445,0.4063010183188184,0.4638866093229183,0.40903040196416235
玄爷,0.09191176470588235,0.033184092704766924,0.021610496526884487,0.012138135400045588,0.022286064933615977,0.02078026029200114,0.018933513846404414,0.015169471438729557,0.016413559163064802,0.02541714210117246,0.024810077892105008,0.03062981422745809,0.027098070466313417,0.03431086203186008,0.035680030692499524,0.03416464356654161,0.04711116655231917,0.044000241759570104,0.04776543176171886,0.060459155243508304,0.0674088760103706
里香,0.09191176470588235,,,0.020230225666742648,0.006554724980475287,0.017455418645280957,0.020195748102831375,0.020023702299123015,0.02680881329967251,0.058722362785467414,0.05972796529580835,0.05703482649250816,0.07468492591935161,0.0800586780743402,0.0818541880592636,0.0770690796733613,0.062101083182602546,0.07142896389540601,0.06427693903737476,0.07145172892414618,0.07989200119747626
舞,0.04595588235294117,,,0.01618418053339412,0.044572129867231955,0.047378993465762596,0.07699628964204462,0.09829817492296752,0.07823796534394223,0.09027467711795738,0.10567255398489171,0.09400184366357828,0.10442671057750048,0.10048181023616169,0.12173186942146896,0.11997351578018096,0.09921897198139948,0.08857191523030346,0.08668541319719347,0.10607833601815547,0.11526085589427565
冈崎梦美,0.04595588235294117,0.04424545693968923,0.04939542063287883,0.04855254160018235,0.12978355461341068,0.28178032955953547,0.40580831344126794,0.49513154776013274,0.5739274520684993,0.6406872715847265,0.657007618253892,0.5534490570754496,0.5379958380385151,0.5105783040455371,0.5645840150754335,0.5569631427940852,0.44327324892409403,0.42000230770498737,0.4522973600152884,0.4408022045935787,0.5080631951152006
幻月,0.04595588235294117,0.011061364234922308,0.0061744275791098535,0.01618418053339412,0.022286064933615977,0.08228983075632451,0.10981438030914559,0.14926759895709885,0.18711457445893875,0.1928196986985497,0.2820997745509718,0.30365764104807585,0.34897027332228003,0.3578132754751123,0.37988738560837726,0.3853453983668064,0.34119905472740253,0.2800015384699916,0.2783368369324852,0.39298450908280397,0.6162502800701164
普莉兹姆利巴三姐妹,,2.8759547010798,,,,,,,,,,,,,,,,,,,
魂魄妖梦,,2.809586515670266,5.563159248777978,3.5483815819466606,2.84343969653018,2.7238765190755094,2.846338248242797,3.155856838113297,3.8473382678223897,4.291114749218634,5.001527924693614,5.106201271815384,5.614588014910549,5.666193786975751,6.087642883740874,7.818936217170602,9.244495727561905,8.756048110154453,8.108919162412297,7.939386340840704,7.670880427476432
八云蓝,,2.6104819594416644,2.497555955749936,1.5172669250056987,2.7778924467254265,2.0156852483241106,1.7172697058688802,1.8251908035079403,1.806038626575897,1.9080385639397397,1.9315105084890642,1.72952830336078,1.820197221078711,1.6853168659935085,1.6213425711738754,1.7511366144338998,1.6517460515464633,1.8354386562563532,2.396527341723771,1.9979002664559335,1.7996505478077336
露娜萨·普莉兹姆利巴,,1.7808796418224915,0.7594545922305119,1.0762480054707089,1.0592435568448064,0.9060193487312496,0.8614748800114008,0.7560464565062811,0.6838982984610334,0.6757453986208265,0.728681176608862,0.6764964142305829,0.6529974053833575,0.7131757750908061,0.6191534737816093,0.6173471639814611,0.644566415102185,0.5931461161874516,0.6250784897212591,0.480375469843875,0.40320494354351305
西行寺幽幽子,,1.5596523571240453,4.6369951119115,4.418281285616595,3.8974394733906057,3.302398965604821,3.328511734197896,3.2116804930078215,3.3335938660184614,3.2586529080054905,3.2611469051511364,2.9415183663265787,3.0462196775424033,2.9752418933341533,3.2133015876598097,3.607945265945707,4.250712073016071,3.9771647096962073,4.259968877119222,4.382189497786288,3.9995933099486556
八云紫,,1.2056887016065314,2.2227939284795473,3.6212103943469343,3.784698203726431,3.716341750621484,3.3253561485568284,3.1431144821047643,3.1716467489428886,3.087744538704503,2.908292464018976,2.6441979282221144,2.841992756223114,3.636134450090696,3.4630618025073066,3.2329287133083207,3.2628051865250143,3.0525882010340717,3.273996014087199,3.2955735894552345,3.0691843793363796
莉莉霍瓦特,,0.39820911245720303,0.4414715719063545,0.5704923638021427,,,,,,,,,,,,,,,,,
莉莉卡·普莉兹姆利巴,,0.2986568343429023,0.1389246205299717,0.16993389560063824,0.3303581390159545,0.2851051712062556,0.30293622154247063,0.25970135103105,0.21720609959122422,0.25767723371533463,0.2830186663247534,0.2376451103854507,0.2432217056488619,0.2818392238331364,0.3053790862210988,0.287618627234606,0.28338080486773803,0.24971565777833943,0.27774714024406894,0.232492933345491,0.21346144069950687
梅露兰·普莉兹姆利巴,,0.18804319199367922,0.19140725495240546,0.23467061773421474,0.28185317416043737,0.2568440172091341,0.28147823918321224,0.26819625503673855,0.23361965875428903,0.21560748127201468,0.23983075295701511,0.2096557973844976,0.24850913403253277,0.2981777295625936,0.27074846819602577,0.29794747296402563,0.3433404713888716,0.30571596547233776,0.3296404488247017,0.2819595149083614,0.26381004562083304
其他（中国）,,0.12167500658414537,,,,,,,,,,,,,,,,,,,
北白河千百合,,0.09955227811430076,0.11422691021353229,0.08496694780031912,0.09176614972665402,0.09558919734320524,0.09466756923202206,0.07342024176345105,0.07112542303994747,0.08326305171073739,0.10842922930623672,0.1040357483242973,0.11632342444076003,0.12172186768445602,0.13432482143058644,0.14222026042816155,0.12848499968814323,0.11828636421079237,0.12737448469791696,0.11157462285847441,0.1739315442736723
盖茨,,0.08849091387937846,0.01852328273732956,,,,,,,,,,,,,,,,,,
小恶魔,,0.07742954964445616,0.20066889632107024,0.5988146797355824,0.5964799732232512,0.6840861688126775,0.6506817591880983,0.6820194358852809,0.7938691448535676,0.6485753501678491,0.684574371467342,0.8227801821789604,0.8975409681281371,0.9541687346002995,0.9045937193216054,0.8493489295961156,0.8144521369120634,1.0462914631399074,0.9600262087417074,0.8854518099753806,0.9524624517761623
雪&舞,,0.06636818540953385,,,,,,,,,,,,,,,,,,,
其他（毛玉）,,0.06636818540953385,,,,,,,,,,,,,,,,,,,
VIVIT,,0.05530682117461153,0.01852328273732956,,,,,,,,,,,,,,,,,,
爱莲1,,0.033184092704766924,,,,,,,,,,,,,,,,,,,
缪斯,,0.022122728469844616,,,,,,,,,,,,,,,,,,,
卡娜·安娜贝拉尔,,0.022122728469844616,0.00926164136866478,0.036414406200136765,0.04588307486332701,0.08727709322640478,0.08961863220631423,0.09708461720786916,0.1083294904762277,0.12883861685766732,0.18285946298255176,0.14522756745777543,0.18572092197644074,0.20341439633174196,0.21093194615271776,0.22167291988523508,0.20700361060867514,0.1862867378392189,0.18988233367004287,0.19676706888341794,0.2696355040414824
神绮,,0.011061364234922308,0.08952919989709288,0.36819010713471617,0.4195023987504184,0.3748758956677005,0.4556665665701329,0.4156435174211899,0.4573911820107392,0.49344313803310674,0.5154982850915152,0.5893598737559177,0.5941747646150185,0.5898200568334043,0.5950169824308008,0.5768263076583535,0.4718254710770147,0.5262886059813515,0.5324961096399028,0.7848697607975441,0.8550940753167381
露易兹,,0.011061364234922308,,0.00404604513334853,0.01573133995314069,0.014961787410240821,0.014515693948910051,0.02184403887177056,0.017507796440602453,0.027170048452977463,0.05329572287933669,0.032214114963361094,0.04890871254895592,0.03839548846422438,0.05037180803646991,0.050055175457956305,0.043542138783204086,0.12628640816707784,0.04540664500805373,0.04781769551077475,0.04493925067358039
VIVIT（原创）,,0.011061364234922308,,,,,,,,,,,,,,,,,,,
铃仙·优昙华院·因幡,,,4.575250836120401,3.60502621381354,1.9519970991855404,1.733904918764575,1.6680425698682289,1.9113534012799243,1.8065857452146659,2.056159150667262,2.9579126198031864,2.841707419964689,3.198233243572942,3.0356943645331445,2.8827365974204757,3.3822997130876185,3.7467653520170208,3.757163500898357,3.6525812880504516,3.567639788051022,3.582240824526423
上白泽慧音,,,3.074864934396707,2.4923638021426946,2.399029342853955,1.8402998514596207,1.722318642894588,1.6492249348186774,1.6665233736898462,1.409336706851218,1.3912021455054437,1.2156867646829055,1.173809101174942,1.1061168378842514,1.1323162681531467,1.07022732288678,1.1099676361947926,1.0354342606278057,1.0077916405034262,1.0585848454454272,1.1184880167646678
藤原妹红,,,1.8801131978389503,1.4848985639389103,3.335044070065826,3.45949773341235,3.433908294609547,3.245660109030576,3.353290137014139,3.4479667940004304,4.860937483305019,3.9787072480977455,4.162527995044924,4.202263673616388,4.011904627571343,4.494636945486648,4.703264794139864,4.98745597503283,5.158666630265636,5.153868170167067,5.269959349823108
八意永琳,,,1.1947517365577565,1.5658194666058811,1.7016066049313847,1.314143660866152,1.113921731296793,1.019388480682626,0.9437796518762261,0.993021448297531,0.9501340940902437,0.8893208130868865,0.99469746467809,0.9525348840273539,1.0641044447704269,1.0694327962922092,1.2306007747908827,1.149149171149292,1.0785552431133802,1.7038489204988705,2.03433330132532
蓬莱山辉夜,,,0.9199897092873681,0.9224982904034648,1.7592881847595672,1.4753984807320808,1.6042997399186674,1.5642758947617919,1.6462799840553997,1.8230226058771974,1.7817311493626522,1.4945236942018345,1.6410855845818586,1.6812322395611443,1.6811590932171834,1.6271904656808651,1.728123245805526,1.538294166451464,1.749040377842693,1.9341433391082339,2.0896751563214884
因幡帝,,,0.7224080267558528,0.6271369956690221,,,,,,,,,,,,,,,,,
