角色名,票数
博丽灵梦,6887
雾雨魔理沙,5950
魂魄妖梦,5801
古明地恋,5579
蕾米莉亚·斯卡蕾特,5453
芙兰朵露·斯卡蕾特,5222
十六夜咲夜,5119
古明地觉,4305
射命丸文,3937
爱丽丝·玛格特洛依德,3908
藤原妹红,3823
八云紫,3300
东风谷早苗,3289
比那名居天子,3266
西行寺幽幽子,3062
铃仙·优昙华院·因幡,2747
秦心,2725
依神紫苑,2586
多多良小伞,2530
帕秋莉·诺蕾姬,2413
犬走椛,2394
红美铃,2366
四季映姬·夜摩仙那度,2295
琪露诺,2264
露米娅,2215
宇佐见莲子,2212
风见幽香,2120
纯狐,2100
洩矢诹访子,1945
稀神探女,1856
鬼人正邪,1821
灵乌路空,1688
水桥帕露西,1666
赫卡提亚·拉碧斯拉祖利,1615
蓬莱山辉夜,1602
依神女苑,1590
河城荷取,1589
哆来咪·苏伊特,1564
八云蓝,1545
丰聪耳神子,1532
物部布都,1523
封兽鵺,1462
伊吹萃香,1457
克劳恩皮丝,1427
圣白莲,1393
玛艾露贝莉·赫恩,1348
今泉影狼,1331
摩多罗隐岐奈,1319
茨木华扇,1275
火焰猫燐,1260
键山雏,1257
宇佐见堇子,1175
娜兹玲,1119
上白泽慧音,1079
永江衣玖,1068
大妖精,1067
米斯蒂娅·萝蕾拉,1040
八意永琳,1014
本居小铃,958
高丽野阿吽,945
霍青娥,929
姬海棠果,926
橙,909
赤蛮奇,870
小恶魔,862
少名针妙丸,859
小野塚小町,850
苏我屠自古,781
村纱水蜜,762
因幡天为（因幡帝）,761
堀川雷鼓,759
稗田阿求,758
易者,756
幽谷响子,719
二岩猯藏,688
八坂神奈子,685
星熊勇仪,675
寅丸星,627
森近霖之助,612
露娜萨·普莉兹姆利巴,590
秋静叶,584
神绮,567
冈崎梦美,538
秋穰子,537
莉格露·奈特巴格,529
若鹭姬,518
黑谷山女,488
魅魔,488
丁礼田舞,487
宫古芳香,479
绵月依姬,476
莉莉霍瓦特（莉莉白）,473
爱塔妮缇拉尔瓦,467
梅蒂欣·梅兰可莉,463
尔子田里乃,453
矢田寺成美,445
露娜切露德,441
清兰,439
蕾蒂·霍瓦特洛克,413
云居一轮,404
九十九弁弁,390
斯塔萨菲雅,369
幻月,362
桑尼米尔克,318
铃瑚,313
莉莉卡·普莉兹姆利巴,291
九十九八桥,289
绵月丰姬,285
梅露兰·普莉兹姆利巴,258
无名的读书妖怪（朱鹭子）,223
坂田合欢,217
卡娜·安娜贝拉尔,201
爱丽丝的人偶（上海、蓬莱、大江户等）,201
蓬莱人形封面的少女（夹克子）,198
琪斯美,192
萨丽爱尔,190
梦月,184
铃仙二号,182
梦子,174
抗抑郁药大叔（长相酷似周杰伦的村民）,163
爱莲,134
胡桃,130
北白河千百合,128
依莉斯,117
雪,117
舞,116
矜羯罗,108
小兔姬,87
里香,78
蓬莱人形碟面的少女（Label子）,78
艾丽,77
云山,76
魂魄妖忌,75
明罗,70
留琴,67
蕾拉·普莉兹姆利巴,66
幽幻魔眼,64
毛玉,64
奥莲姬,57
大鲶鱼,55
妖精（女仆妖精、向日葵妖精等）,53
露易兹,48
神玉,46
朝仓理香子,44
蛞蝓（蛞蝓卫门）,43
飞碟（红、蓝、绿、其他）,43
咪咪号,42
旧作的无名道中Boss,38
核热造神非想天则,37
嫦娥,37
都市传说的怪异（阿菊、八尺大人等）,37
菊理,36
萨拉,36
玄爷,34
野槌,32
卓柏卡布拉,25
狐（妖怪狐、年幼的妖狐等）,25
龙（子龙、邪龙等）,25
蟒蛇,24
河童（含山童）,24
兔子（玉兔、永远亭的妖怪兔等）,23
酒虫,22
乌鸦（地狱鸦、紫和文的使魔等）,21
岩笠,20
天狗（香霖堂的天狗、大天狗等）,20
地精,19
袈裟罗婆娑罗,15
村里的人类（在文花帖、求闻史记、铃奈庵等登场的人类）,14
命莲,13
万岁乐,13
仙台四郎（福神）,12
华扇的宠物（久米、竿打、雷兽（务光）、彭祖、人面犬等）,12
水江浦岛子（瑞江浦岛子）,10
木花咲耶姬,9
运松翁,9
睡鼠,8
月之都的门卫,7
降神的神灵（天照、伊豆能卖等）,7
座敷童子,6
狸（妖怪狸、野铁炮等）,6
小铃的父母,5
幽灵（包括怨灵、神灵、旧作的一种杂鱼）,5
毘沙门天,4
盐家老板,2
烟烟罗,1
沓颊,1
