角色名,票数
博丽灵梦,8574
雾雨魔理沙,7386
古明地恋,7238
魂魄妖梦,6936
十六夜咲夜,6529
芙兰朵露·斯卡蕾特,6497
蕾米莉亚·斯卡蕾特,6304
古明地觉,5371
爱丽丝·玛格特洛依德,5148
藤原妹红,5144
射命丸文,4978
比那名居天子,4671
八云紫,4451
东风谷早苗,4306
依神紫苑,4045
铃仙·优昙华院·因幡,3716
秦心,3646
西行寺幽幽子,3642
犬走椛,3161
多多良小伞,3115
帕秋莉·诺蕾姬,3022
红美铃,2864
风见幽香,2827
露米娅,2820
四季映姬·夜摩仙那度,2680
宇佐见莲子,2678
哆来咪·苏伊特,2623
稀神探女,2577
纯狐,2563
鬼人正邪,2555
琪露诺,2489
洩矢诹访子,2383
水桥帕露西,2244
灵乌路空,2165
河城荷取,2129
物部布都,2076
八云蓝,2063
蓬莱山辉夜,2058
丰聪耳神子,2038
封兽鵺,1962
圣白莲,1910
克劳恩皮丝,1909
伊吹萃香,1837
赫卡提亚·拉碧斯拉祖利,1780
摩多罗隐岐奈,1734
今泉影狼,1725
高丽野阿吽,1674
茨木华扇,1672
玛艾露贝莉·赫恩,1568
键山雏,1546
火焰猫燐,1467
娜兹玲,1424
宇佐见堇子,1400
依神女苑,1393
本居小铃,1357
上白泽慧音,1354
永江衣玖,1338
米斯蒂娅·萝蕾拉,1302
少名针妙丸,1253
霍青娥,1245
橙,1207
大妖精,1170
姬海棠果,1169
小恶魔,1168
八意永琳,1166
易者,1161
赤蛮奇,1115
二岩猯藏,1104
堀川雷鼓,1104
因幡天为（因幡帝）,1035
八坂神奈子,1015
村纱水蜜,987
小野塚小町,983
稗田阿求,981
苏我屠自古,960
矢田寺成美,948
星熊勇仪,927
幽谷响子,925
秋静叶,900
露娜萨·普莉兹姆利巴,873
森近霖之助,873
寅丸星,805
丁礼田舞,798
秋穰子,734
神绮,722
云居一轮,703
尔子田里乃,699
梅蒂欣·梅兰可莉,671
宫古芳香,659
若鹭姬,655
黑谷山女,642
莉格露·奈特巴格,625
冈崎梦美,625
魅魔,622
爱塔妮缇拉尔瓦,589
九十九弁弁,582
清兰,543
蕾蒂·霍瓦特洛克,541
绵月依姬,479
铃瑚,465
莉莉霍瓦特（莉莉白）,464
幻月,438
斯塔萨菲雅,407
露娜切露德,395
九十九八桥,372
梅露兰·普莉兹姆利巴,365
桑尼米尔克,355
莉莉卡·普莉兹姆利巴,345
坂田合欢,327
爱丽丝的人偶（上海、蓬莱、大江户等）,276
抗抑郁药大叔（长相酷似周杰伦的村民）,268
琪斯美,261
绵月丰姬,261
无名的读书妖怪（朱鹭子）,250
卡娜·安娜贝拉尔,249
梦月,247
蓬莱人形封面的少女（夹克子）,25
萨丽爱尔,180
铃仙二号,168
梦子,167
北白河千百合,149
胡桃,147
爱莲,131
舞,123
云山,121
雪,113
依莉斯,108
矜羯罗,107
大鲶鱼,106
艾丽,105
小兔姬,104
魂魄妖忌,103
里香,98
蓬莱人形碟面的少女（Label子）,95
蛞蝓（蛞蝓卫门）,81
明罗,80
蕾拉·普莉兹姆利巴,78
毛玉,76
妖精（女仆妖精、向日葵妖精等）,66
飞碟（红、蓝、绿、其他）,66
留琴,58
旧作的无名道中Boss,58
幽幻魔眼,55
奥莲姬,55
神玉,51
朝仓理香子,50
嫦娥,50
核热造神非想天则,49
露易兹,47
野槌,46
狐（妖怪狐、年幼的妖狐等）,43
龙（子龙、邪龙等）,43
都市传说的怪异（阿菊、八尺大人等）,43
玄爷,42
萨拉,39
咪咪号,36
河童（含山童）,35
卓柏卡布拉,34
兔子（玉兔、永远亭的妖怪兔等）,34
菊理,33
命莲,30
地精,30
蟒蛇,28
天狗（香霖堂的天狗、大天狗等）,27
华扇的宠物（久米、竿打、雷兽（务光）、彭祖、人面犬等）,27
睡鼠,26
酒虫,25
村里的人类（在文花帖、求闻史记、铃奈庵等登场的人类）,24
岩笠,21
狸（妖怪狸、野铁炮等）,21
万岁乐,19
袈裟罗婆娑罗,17
乌鸦（地狱鸦、紫和文的使魔等）,15
幽灵（包括怨灵、神灵、旧作的一种杂鱼）,13
月之都的门卫,11
木花咲耶姬,10
运松翁,10
盐家老板,10
小铃的父母,9
毘沙门天,8
座敷童子,8
降神的神灵（天照、伊豆能卖等）,8
仙台四郎（福神）,6
沓颊,5
烟烟罗,4
水江浦岛子（瑞江浦岛子）,1
