角色名,票数
博丽灵梦,21959
雾雨魔理沙,20249
芙兰朵露·斯卡蕾特,17324
古明地恋,16273
魂魄妖梦,14445
十六夜咲夜,14437
蕾米莉亚·斯卡蕾特,13785
古明地觉,9921
藤原妹红,9377
琪露诺,8159
西行寺幽幽子,7973
爱丽丝·玛格特洛依德,7417
射命丸文,7235
东风谷早苗,6762
铃仙·优昙华院·因幡,6491
八云紫,5996
帕秋莉·诺蕾姬,5559
红美铃,5302
秦心,5235
比那名居天子,5207
露米娅,5152
洩矢诹访子,4914
多多良小伞,4806
风见幽香,4288
四季映姬·夜摩仙那度,4151
纯狐,3716
伊吹萃香,3715
犬走椛,3695
八云蓝,3635
蓬莱山辉夜,3519
灵乌路空,3463
依神紫苑,3372
丰聪耳神子,3305
宇佐见莲子,3220
鬼人正邪,3174
水桥帕露西,3144
八意永琳,3100
赫卡提亚·拉碧斯拉祖利,3012
稗田阿求,3011
物部布都,2967
河城荷取,2849
饕餮尤魔,2803
键山雏,2774
稀神探女,2731
摩多罗隐岐奈,2540
茨木华扇,2528
火焰猫燐,2278
玛艾露贝莉·赫恩,2220
圣白莲,2087
上白泽慧音,1926
橙,1924
米斯蒂娅·萝蕾拉,1898
封兽鵺,1883
娜兹玲,1776
饭纲丸龙,1680
魅魔,1667
小恶魔,1611
哆来咪·苏伊特,1602
天弓千亦,1590
克劳恩皮丝,1568
菅牧典,1553
霍青娥,1548
大妖精,1508
赤蛮奇,1498
村纱水蜜,1464
埴安神袿姬,1458
神绮,1428
依神女苑,1423
因幡天为（因幡帝）,1404
吉吊八千慧,1385
莉格露·奈特巴格,1323
本居小铃,1311
二岩猯藏,1294
八坂神奈子,1287
永江衣玖,1273
小野塚小町,1210
森近霖之助,1202
姬海棠果,1166
莉莉霍瓦特（莉莉白）,1161
星熊勇仪,1143
豫母都日狭美,1131
宇佐见堇子,1116
庭渡久侘歌,1089
今泉影狼,1082
高丽野阿吽,1075
苏我屠自古,1061
日白残无,1013
奥野田美宵,1007
少名针妙丸,962
露娜萨·普莉兹姆利巴,874
蕾蒂·霍瓦特洛克,844
宫古芳香,825
梅蒂欣·梅兰可莉,823
冈崎梦美,802
堀川雷鼓,787
绵月依姬,786
天火人血枪,784
姬虫百百世,779
秋穰子,765
骊驹早鬼,754
秋静叶,749
幻月,715
露娜切露德,705
若鹭姬,701
寅丸星,691
斯塔萨菲雅,630
清兰,599
黑谷山女,590
杖刀偶磨弓,585
孙美天,582
三头慧之子,570
幽谷响子,561
桑尼米尔克,555
蓬莱人形封面的少女（夹克子）,527
丁礼田舞,524
梅露兰·普莉兹姆利巴,513
爱丽丝的人偶（上海、蓬莱、大江户等）,508
宫出口瑞灵,507
绵月丰姬,497
梦月,477
易者,464
爱塔妮缇拉尔瓦,451
云居一轮,429
豪德寺三花,426
莉莉卡·普莉兹姆利巴,423
C62社团Cut的少女（冴月麟）,420
九十九弁弁,416
无名的读书妖怪（朱鹭子）,408
尔子田里乃,383
卡娜·安娜贝拉尔,358
铃仙二号,340
铃瑚,333
萨丽爱尔,310
矢田寺成美,282
梦子,281
九十九八桥,272
山城高岭,264
琪斯美,242
戎璎花,235
影华扇（断善修恶的怪臂 - 茨木童子之臂）,235
驹草山如,227
明罗,217
玉造魅须丸,206
艾丽,204
北白河千百合,203
胡桃,194
舞,193
魂魄妖忌,191
蓬莱人形碟面的少女（Label子）,189
爱莲,188
抗抑郁药大叔（长相酷似周杰伦的村民）,185
牛崎润美,178
坂田合欢,175
小兔姬,171
矜羯罗,161
雪,140
依莉斯,139
云山,138
毛玉,135
蕾拉·普莉兹姆利巴,131
里香,130
大鲶鱼,122
水獭灵,119
留琴,117
幽幻魔眼,115
玄爷,110
飞碟（红、蓝、绿、其他）,101
朝仓理香子,96
露易兹,87
神玉,86
妖精（女仆妖精、向日葵妖精等）,85
核热造神非想天则,83
奥莲姬,78
乌鸦（地狱鸦、紫和文的使魔等）,78
咪咪号,75
嫦娥,65
野槌,64
卓柏卡布拉,64
蛞蝓（蛞蝓卫门）,60
鲵吞亭的常客,58
萨拉,54
旧作的无名道中Boss,51
兔子（玉兔、永远亭的妖怪兔等）,50
菊理,49
狐（妖怪狐、年幼的妖狐等）,46
河童（含山童）,40
天狗（香霖堂的天狗、大天狗等）,38
华扇的宠物（久米、竿打、雷兽（务光）、彭祖、人面犬等）,35
龙（子龙、邪龙等）,34
野狼灵,33
大鹫灵,33
地精,32
降神的神灵（天照、伊豆能卖等）,28
村里的人类（在文花帖、求闻史记、铃奈庵等登场的人类）,27
岩笠,26
命莲,24
万岁乐,23
袈裟罗婆娑罗,23
水江浦岛子（瑞江浦岛子）,20
幽灵（包括怨灵、神灵、旧作的一种杂鱼）,20
莱卡,20
木花咲耶姬,19
座敷童子,18
都市传说的怪异（阿菊、八尺大人等）,18
鲵吞亭店主,15
酒虫,14
小铃的父母,14
月之都的门卫,13
仙台四郎（福神）,12
运松翁,11
毘沙门天,10
睡鼠,10
蟒蛇,10
狸（妖怪狸、野铁炮等）,9
烟烟罗,8
盐家老板,6
沓颊,5
