角色名,票数
博丽灵梦,8175
十六夜咲夜,7246
风见幽香,7192
蕾米莉亚·斯卡蕾特,6920
雾雨魔理沙,6750
东风谷早苗,6466
爱丽丝·玛格特洛依德,6373
古明地觉,6113
芙兰朵露·斯卡蕾特,5961
射命丸文,5620
藤原妹红,5349
西行寺幽幽子,5293
魂魄妖梦,5201
八云紫,5180
古明地恋,4827
灵乌路空,4736
帕秋莉·诺蕾姬,4298
河城荷取,4090
圣白莲,4001
比那名居天子,3947
洩矢诹访子,3776
红美铃,3450
琪露诺,3196
铃仙·优昙华院·因幡,3150
键山雏,3107
八云蓝,3008
娜兹玲,2886
伊吹萃香,2775
永江衣玖,2738
上白泽慧音,2718
犬走椛,2603
水桥帕露西,2580
蓬莱山辉夜,2578
多多良小伞,2561
四季映姬·夜摩仙那度,2486
寅丸星,2399
露米娅,2373
封兽鵺,2314
八坂神奈子,2172
火焰猫燐,2021
小野塚小町,1939
姬海棠果,1926
米斯蒂娅·萝蕾拉,1832
八意永琳,1680
宇佐见莲子,1639
秋穰子,1615
大妖精,1613
秋静叶,1576
森近霖之助,1558
村纱水蜜,1556
橙,1545
星熊勇仪,1256
露娜萨·普莉兹姆利巴,1246
因幡天为（因幡帝）,1239
小恶魔,1124
蕾蒂·霍瓦特洛克,1063
云居一轮,1000
黑谷山女,996
梅蒂欣·梅兰可莉,971
露娜切露德,962
魅魔,953
茨木华扇,923
莉格露·奈特巴格,856
稗田阿求,839
冈崎梦美,816
玛艾露贝莉·赫恩,725
神绮,685
绵月依姬,610
桑尼米尔克,533
莉莉霍瓦特（莉莉白）,527
无名的读书妖怪（朱鹭子）,480
斯塔萨菲雅,455
梅露兰·普莉兹姆利巴,442
爱丽丝的人偶（上海、蓬莱、大江户等）,438
莉莉卡·普莉兹姆利巴,428
琪斯美,410
云山,311
绵月丰姬,274
幻月,246
核热造神非想天则,175
铃仙二号,168
舞,162
卡娜·安娜贝拉尔,160
梦子,136
艾丽,133
魂魄妖忌,130
雪,130
毛玉,129
北白河千百合,121
萨丽爱尔,103
大鲶鱼,96
明罗,79
妖精（女仆妖精、向日葵妖精等）,78
飞碟（红、蓝、绿、其他）,77
胡桃,74
小兔姬,72
爱莲,71
梦月,70
蕾拉·普莉兹姆利巴,69
野槌,62
矜羯罗,57
朝仓理香子,51
依莉斯,43
幽幻魔眼,39
露易兹,36
河童,35
奥莲姬,35
萨拉,34
里香,33
咪咪号,33
酒虫,30
天狗（大天狗等）1,28
神玉,27
留琴,26
玄爷,25
岩笠,23
永远亭的妖怪兔,22
乌鸦（地狱鸦、紫和文的使魔等）,21
妖怪狸,21
菊理,21
命莲,18
木花咲耶姬,17
毘沙门天,16
月之兔（玉兔）,14
月之都的门卫,11
大蛤蟆,9
幽灵（包括怨灵、旧作的一种杂鱼）,9
水江浦岛子（瑞江浦岛子）,5
