角色名,票数
博丽灵梦,9583
爱丽丝·玛格特洛依德,9265
十六夜咲夜,8635
蕾米莉亚·斯卡蕾特,8205
雾雨魔理沙,8028
芙兰朵露·斯卡蕾特,7824
风见幽香,7289
魂魄妖梦,7032
射命丸文,7016
古明地觉,6925
东风谷早苗,6880
藤原妹红,6129
西行寺幽幽子,6093
古明地恋,5852
八云紫,5797
灵乌路空,4950
帕秋莉·诺蕾姬,4777
比那名居天子,4758
物部布都,4479
河城荷取,4162
红美铃,4114
犬走椛,3823
圣白莲,3759
洩矢诹访子,3690
琪露诺,3604
茨木华扇,3521
铃仙·优昙华院·因幡,3302
八云蓝,3301
键山雏,3282
永江衣玖,3275
上白泽慧音,3046
四季映姬·夜摩仙那度,3039
蓬莱山辉夜,3009
多多良小伞,2906
露米娅,2805
伊吹萃香,2795
封兽鵺,2743
水桥帕露西,2691
娜兹玲,2426
霍青娥,2344
丰聪耳神子,2261
火焰猫燐,2257
小野塚小町,2234
八坂神奈子,2228
米斯蒂娅·萝蕾拉,2157
大妖精,2149
寅丸星,2027
宇佐见莲子,1962
姬海棠果,1838
八意永琳,1725
秋静叶,1684
秋穰子,1647
橙,1637
森近霖之助,1580
宫古芳香,1509
小恶魔,1451
幽谷响子,1440
星熊勇仪,1429
村纱水蜜,1394
二岩猯藏,1298
稗田阿求,1294
露娜萨·普莉兹姆利巴,1250
因幡天为（因幡帝）,1198
黑谷山女,1147
梅蒂欣·梅兰可莉,1049
冈崎梦美,1049
莉格露·奈特巴格,956
苏我屠自古,944
蕾蒂·霍瓦特洛克,938
露娜切露德,905
魅魔,893
玛艾露贝莉·赫恩,871
神绮,836
云居一轮,812
绵月依姬,659
莉莉霍瓦特（莉莉白）,572
桑尼米尔克,535
无名的读书妖怪（朱鹭子）,508
斯塔萨菲雅,505
爱丽丝的人偶（上海、蓬莱、大江户等）,460
琪斯美,430
梅露兰·普莉兹姆利巴,427
莉莉卡·普莉兹姆利巴,397
幻月,342
绵月丰姬,320
卡娜·安娜贝拉尔,198
云山,175
梦子,171
铃仙二号,162
艾丽,148
毛玉,144
舞,143
核热造神非想天则,139
胡桃,138
魂魄妖忌,137
北白河千百合,130
妖精（女仆妖精、向日葵妖精等）,121
萨丽爱尔,121
梦月,117
雪,99
爱莲,97
矜羯罗,83
明罗,83
大鲶鱼,74
蕾拉·普莉兹姆利巴,68
小兔姬,67
朝仓理香子,65
降神的神灵（天照、伊豆能卖等）,53
依莉斯,52
野槌,49
飞碟（红、蓝、绿、其他）,49
里香,49
咪咪号,48
岩笠,46
留琴,41
幽幻魔眼,41
奥莲姬,34
露易兹,32
玄爷,30
菊理,29
萨拉,29
乌鸦（地狱鸦、紫和文的使魔等）,24
神玉,23
河童,22
永远亭的妖怪兔,22
酒虫,20
命莲,19
妖怪狐,18
幽灵（包括怨灵、旧作的一种杂鱼）,15
天狗（大天狗等）,14
月之都的门卫,14
月之兔（玉兔）,12
毘沙门天,11
雷兽（务光）,9
大蛤蟆,9
木花咲耶姬,8
大鹫（久米、竿打）,8
水江浦岛子（瑞江浦岛子）,8
妖怪狸,6
子龙,4
