角色名,票数
魂魄妖梦,9841
博丽灵梦,8913
古明地恋,8865
雾雨魔理沙,8626
芙兰朵露·斯卡蕾特,8497
蕾米莉亚·斯卡蕾特,8294
十六夜咲夜,7853
古明地觉,6090
藤原妹红,5657
射命丸文,5289
爱丽丝·玛格特洛依德,4749
东风谷早苗,4737
西行寺幽幽子,4541
铃仙·优昙华院·因幡,4257
八云紫,4069
比那名居天子,3765
秦心,3719
帕秋莉·诺蕾姬,3532
四季映姬·夜摩仙那度,3238
多多良小伞,3199
洩矢诹访子,3133
犬走椛,3074
露米娅,3054
琪露诺,3020
红美铃,3013
纯狐,2750
宇佐见莲子,2746
风见幽香,2700
丰聪耳神子,2573
依神紫苑,2473
伊吹萃香,2460
鬼人正邪,2326
河城荷取,2309
水桥帕露西,2290
茨木华扇,2289
埴安神袿姬,2217
八云蓝,2204
灵乌路空,2143
物部布都,2142
稀神探女,2118
蓬莱山辉夜,2048
赫卡提亚·拉碧斯拉祖利,1934
摩多罗隐岐奈,1932
圣白莲,1913
封兽鵺,1766
吉吊八千慧,1733
火焰猫燐,1731
克劳恩皮丝,1724
玛艾露贝莉·赫恩,1705
键山雏,1610
哆来咪·苏伊特,1595
今泉影狼,1467
娜兹玲,1401
大妖精,1366
依神女苑,1358
庭渡久侘歌,1353
上白泽慧音,1347
八意永琳,1346
霍青娥,1309
本居小铃,1303
橙,1290
宇佐见堇子,1164
永江衣玖,1163
米斯蒂娅·萝蕾拉,1147
小野塚小町,1128
苏我屠自古,1119
少名针妙丸,1107
杖刀偶磨弓,1091
赤蛮奇,1087
村纱水蜜,1076
小恶魔,1069
稗田阿求,1060
姬海棠果,1024
因幡天为（因幡帝）,999
森近霖之助,977
骊驹早鬼,947
星熊勇仪,946
八坂神奈子,927
二岩猯藏,893
堀川雷鼓,807
魅魔,795
莉莉霍瓦特（莉莉白）,794
高丽野阿吽,781
露娜萨·普莉兹姆利巴,777
寅丸星,766
梅蒂欣·梅兰可莉,761
幽谷响子,736
神绮,726
宫古芳香,703
若鹭姬,703
冈崎梦美,701
易者,684
奥野田美宵,683
莉格露·奈特巴格,658
清兰,639
秋静叶,623
秋穰子,620
绵月依姬,572
露娜切露德,570
蕾蒂·霍瓦特洛克,531
斯塔萨菲雅,527
黑谷山女,495
桑尼米尔克,486
幻月,485
云居一轮,477
九十九弁弁,461
爱塔妮缇拉尔瓦,418
丁礼田舞,414
尔子田里乃,403
矢田寺成美,398
梅露兰·普莉兹姆利巴,375
莉莉卡·普莉兹姆利巴,362
铃瑚,362
绵月丰姬,335
无名的读书妖怪（朱鹭子）,321
水獭灵,295
爱丽丝的人偶（上海、蓬莱、大江户等）,290
卡娜·安娜贝拉尔,279
蓬莱人形封面的少女（夹克子）,256
梦月,256
铃仙二号,244
牛崎润美,244
九十九八桥,242
萨丽爱尔,241
戎璎花,230
琪斯美,228
抗抑郁药大叔（长相酷似周杰伦的村民）,208
梦子,192
北白河千百合,179
胡桃,174
坂田合欢,153
舞,151
爱莲,141
云山,135
依莉斯,135
矜羯罗,129
毛玉,129
魂魄妖忌,125
艾丽,124
影华扇（断善修恶的怪臂 - 茨木童子之臂）,124
雪,121
蓬莱人形碟面的少女（Label子）,117
留琴,103
大鲶鱼,98
小兔姬,97
里香,97
野狼灵,97
妖精（女仆妖精、向日葵妖精等）,96
飞碟（红、蓝、绿、其他）,86
核热造神非想天则,77
明罗,76
蕾拉·普莉兹姆利巴,75
大鹫灵,66
幽幻魔眼,63
露易兹,63
奥莲姬,60
旧作的无名道中Boss,58
朝仓理香子,58
神玉,54
菊理,54
嫦娥,52
蛞蝓（蛞蝓卫门）,51
卓柏卡布拉,45
玄爷,43
萨拉,40
狐（妖怪狐、年幼的妖狐等）,39
咪咪号,38
河童（含山童）,33
兔子（玉兔、永远亭的妖怪兔等）,32
野槌,30
华扇的宠物（久米、竿打、雷兽（务光）、彭祖、人面犬等）,29
龙（子龙、邪龙等）,28
村里的人类（在文花帖、求闻史记、铃奈庵等登场的人类）,25
都市传说的怪异（阿菊、八尺大人等）,24
蟒蛇,23
万岁乐,23
地精,22
酒虫,21
岩笠,21
天狗（香霖堂的天狗、大天狗等）,20
袈裟罗婆娑罗,20
命莲,18
乌鸦（地狱鸦、紫和文的使魔等）,15
降神的神灵（天照、伊豆能卖等）,15
狸（妖怪狸、野铁炮等）,13
幽灵（包括怨灵、神灵、旧作的一种杂鱼）,13
运松翁,11
仙台四郎（福神）,10
木花咲耶姬,10
小铃的父母,9
沓颊,7
月之都的门卫,7
盐家老板,7
毘沙门天,7
烟烟罗,5
睡鼠,4
座敷童子,4
水江浦岛子（瑞江浦岛子）,2
