角色名,票数
博丽灵梦,3927
雾雨魔理沙,3867
射命丸文,3774
十六夜咲夜,3154
蕾米莉亚·斯卡蕾特,3083
西行寺幽幽子,2973
八云紫,2887
爱丽丝·玛格特洛依德,2574
藤原妹红,2544
芙兰朵露·斯卡蕾特,2497
帕秋莉·诺蕾姬,2474
魂魄妖梦,2169
东风谷早苗,2135
八云蓝,2119
琪露诺,2075
洩矢诹访子,1987
上白泽慧音,1830
四季映姬·夜摩仙那度,1586
红美铃,1521
风见幽香,1517
铃仙·优昙华院·因幡,1489
伊吹萃香,1454
蓬莱山辉夜,1342
八意永琳,1298
键山雏,1092
河城荷取,934
橙,920
小野塚小町,855
犬走椛,848
米斯蒂娅·萝蕾拉,815
露娜萨·普莉兹姆利巴,808
八坂神奈子,773
因幡天为（因幡帝）,744
露米娅,661
森近霖之助,659
魅魔,525
宇佐见莲子,504
小恶魔,455
蕾蒂·霍瓦特洛克,452
稗田阿求,413
莉格露·奈特巴格,410
神绮,320
梅蒂欣·梅兰可莉,306
莉莉卡·普莉兹姆利巴,252
大妖精,238
莉莉霍瓦特（莉莉白）,231
露娜切露德,222
梅露兰·普莉兹姆利巴,215
玛艾露贝莉·赫恩,190
上海人偶,190
桑尼米尔克,169
秋静叶,120
冈崎梦美,99
秋穰子,97
斯塔萨菲雅,85
毛玉,75
北白河千百合,70
魂魄妖忌,58
无名的读书妖怪（朱鹭子）,48
艾丽,41
蕾拉·普莉兹姆利巴,35
绵月丰姬,35
卡娜·安娜贝拉尔,35
舞,34
梦子,32
铃仙二号,28
雪,28
野槌,25
朝仓理香子,22
小兔姬,21
杂鱼妖精,19
玄爷,17
幻月,17
乌鸦,15
绵月依姬,15
明罗,14
萨丽爱尔,14
月之兔（玉兔）,13
露易兹,12
永远亭的妖怪兔,12
胡桃,12
大蛤蟆,12
留琴,9
奥莲姬,9
梦月,8
萨拉,7
旧作的一种杂鱼译名未定,7
爱莲,6
前鬼和后鬼,6
里香,5
月之都的门卫,5
矜羯罗,2
神玉,2
幽灵,1
