角色名,票数
博丽灵梦,15427
雾雨魔理沙,10969
古明地恋,10913
十六夜咲夜,10195
芙兰朵露·斯卡蕾特,9844
魂魄妖梦,9669
蕾米莉亚·斯卡蕾特,9091
古明地觉,8821
爱丽丝·玛格特洛依德,7834
射命丸文,7625
藤原妹红,7534
东风谷早苗,6189
比那名居天子,5760
稀神探女,5665
秦心,5641
西行寺幽幽子,5570
铃仙·优昙华院·因幡,5381
八云紫,5007
风见幽香,4727
帕秋莉·诺蕾姬,4495
犬走椛,4490
多多良小伞,4376
克劳恩皮丝,4333
红美铃,4286
露米娅,4206
四季映姬·夜摩仙那度,3809
鬼人正邪,3806
宇佐见莲子,3774
灵乌路空,3590
水桥帕露西,3558
纯狐,3455
物部布都,3438
河城荷取,3387
洩矢诹访子,3371
琪露诺,3275
八云蓝,3275
丰聪耳神子,3249
封兽鵺,3219
茨木华扇,3159
圣白莲,3124
蓬莱山辉夜,2830
伊吹萃香,2756
赫卡提亚·拉碧斯拉祖利,2442
少名针妙丸,2412
娜兹玲,2404
永江衣玖,2307
上白泽慧音,2302
今泉影狼,2269
键山雏,2249
火焰猫燐,2244
米斯蒂娅·萝蕾拉,2057
玛艾露贝莉·赫恩,1951
宇佐见堇子,1934
霍青娥,1873
橙,1862
赤蛮奇,1816
本居小铃,1728
大妖精,1714
八意永琳,1684
小野塚小町,1630
二岩猯藏,1601
小恶魔,1558
堀川雷鼓,1544
寅丸星,1530
姬海棠果,1529
星熊勇仪,1524
因幡天为（因幡帝）,1492
哆来咪·苏伊特,1400
稗田阿求,1391
幽谷响子,1353
八坂神奈子,1308
村纱水蜜,1305
露娜萨·普莉兹姆利巴,1281
森近霖之助,1248
神绮,1116
苏我屠自古,1095
易者,1083
秋静叶,1077
冈崎梦美,1048
秋穰子,983
黑谷山女,979
宫古芳香,957
云居一轮,909
若鹭姬,908
莉格露·奈特巴格,886
梅蒂欣·梅兰可莉,872
铃瑚,851
绵月依姬,846
魅魔,810
蕾蒂·霍瓦特洛克,773
露娜切露德,637
幻月,575
清兰,571
斯塔萨菲雅,571
九十九弁弁,500
桑尼米尔克,500
莉莉霍瓦特（莉莉白）,474
琪斯美,458
爱丽丝的人偶（上海、蓬莱、大江户等）,452
莉莉卡·普莉兹姆利巴,450
九十九八桥,450
梅露兰·普莉兹姆利巴,397
绵月丰姬,394
无名的读书妖怪（朱鹭子）,358
蓬莱人形封面和碟面的少女（夹克子&Label子）,316
梦月,308
卡娜·安娜贝拉尔,275
梦子,244
铃仙二号,212
嫦娥,209
萨丽爱尔,201
艾丽,199
北白河千百合,197
云山,182
舞,178
胡桃,166
毛玉,163
雪,162
矜羯罗,156
魂魄妖忌,155
爱莲,153
核热造神非想天则,135
小兔姬,131
依莉斯,123
里香,108
蕾拉·普莉兹姆利巴,100
妖精（女仆妖精、向日葵妖精等）,97
大鲶鱼,94
明罗,86
幽幻魔眼,85
河童（含山童）1,82
飞碟（红、蓝、绿、其他）,80
留琴,77
地精,73
野槌,72
露易兹,61
卓柏卡布拉,61
朝仓理香子,59
菊理,58
玄爷,58
萨拉,55
咪咪号,55
狐（妖怪狐、年幼的妖狐等）2,55
华扇的宠物（久米、竿打、雷兽（务光）、彭祖、人面犬等）2,51
奥莲姬,48
蟒蛇,48
龙（子龙、邪龙等）2,47
酒虫,46
兔子（玉兔、永远亭的妖怪兔等）2,45
神玉,43
都市传说的怪异（阿菊、八尺大人等）2,42
乌鸦（地狱鸦、紫和文的使魔等）,39
万岁乐,33
命莲,32
岩笠,27
天狗（香霖堂的天狗、大天狗等）3,26
运松翁,24
仙台四郎（福神）,20
月之都的门卫,16
幽灵（包括怨灵、神灵、旧作的一种杂鱼）4,15
降神的神灵（天照、伊豆能卖等）,15
毘沙门天,12
木花咲耶姬,12
狸（妖怪狸、野铁炮等）2,11
座敷童子,9
小铃的父母,9
烟烟罗,9
沓颊,6
水江浦岛子（瑞江浦岛子）,4
