角色名,票数
芙兰朵露·斯卡蕾特,16723
雾雨魔理沙,16578
博丽灵梦,15679
魂魄妖梦,15323
十六夜咲夜,13787
古明地恋,13150
蕾米莉亚·斯卡蕾特,12981
藤原妹红,8728
古明地觉,7600
西行寺幽幽子,6960
爱丽丝·玛格特洛依德,6909
射命丸文,6607
铃仙·优昙华院·因幡,6575
东风谷早苗,6185
琪露诺,5850
八云紫,5342
露米娅,5293
比那名居天子,5200
帕秋莉·诺蕾姬,5194
洩矢诹访子,5013
秦心,4966
红美铃,4550
四季映姬·夜摩仙那度,4417
犬走椛,4129
多多良小伞,4095
风见幽香,4058
丰聪耳神子,3650
纯狐,3522
赫卡提亚·拉碧斯拉祖利,3425
依神紫苑,3412
伊吹萃香,3326
鬼人正邪,3285
稀神探女,3268
八云蓝,3212
河城荷取,3107
灵乌路空,3077
物部布都,3071
水桥帕露西,3058
茨木华扇,2863
蓬莱山辉夜,2692
宇佐见莲子,2611
键山雏,2552
摩多罗隐岐奈,2493
封兽鵺,2215
火焰猫燐,2051
八意永琳,2011
圣白莲,1994
克劳恩皮丝,1989
娜兹玲,1949
哆来咪·苏伊特,1902
埴安神袿姬,1890
天弓千亦,1887
饕餮尤魔,1854
小恶魔,1831
上白泽慧音,1812
橙,1780
菅牧典,1778
霍青娥,1767
村纱水蜜,1714
玛艾露贝莉·赫恩,1668
饭纲丸龙,1610
永江衣玖,1593
庭渡久侘歌,1588
吉吊八千慧,1518
宇佐见堇子,1506
大妖精,1464
因幡天为（因幡帝）,1452
依神女苑,1438
米斯蒂娅·萝蕾拉,1401
今泉影狼,1399
赤蛮奇,1385
星熊勇仪,1366
苏我屠自古,1286
森近霖之助,1278
魅魔,1266
本居小铃,1262
小野塚小町,1259
二岩猯藏,1238
八坂神奈子,1222
姬海棠果,1201
莉格露·奈特巴格,1164
少名针妙丸,1099
姬虫百百世,1040
露娜萨·普莉兹姆利巴,1038
梅蒂欣·梅兰可莉,1029
宫古芳香,1001
稗田阿求,960
堀川雷鼓,951
秋静叶,934
神绮,921
绵月依姬,898
秋穰子,871
骊驹早鬼,870
杖刀偶磨弓,865
高丽野阿吽,823
莉莉霍瓦特（莉莉白）,816
若鹭姬,798
寅丸星,776
奥野田美宵,739
冈崎梦美,735
蕾蒂·霍瓦特洛克,691
黑谷山女,669
丁礼田舞,656
易者,628
幽谷响子,620
豪德寺三花,619
尔子田里乃,564
绵月丰姬,561
梅露兰·普莉兹姆利巴,535
露娜切露德,519
斯塔萨菲雅,513
爱塔妮缇拉尔瓦,499
幻月,490
云居一轮,485
爱丽丝的人偶（上海、蓬莱、大江户等）,474
清兰,448
九十九弁弁,446
无名的读书妖怪（朱鹭子）,444
莉莉卡·普莉兹姆利巴,437
铃瑚,418
桑尼米尔克,415
山城高岭,374
玉造魅须丸,363
矢田寺成美,345
蓬莱人形封面的少女（夹克子）,329
铃仙二号,329
卡娜·安娜贝拉尔,326
梦月,299
萨丽爱尔,293
九十九八桥,283
琪斯美,280
梦子,272
抗抑郁药大叔（长相酷似周杰伦的村民）,265
戎璎花,259
胡桃,231
魂魄妖忌,222
露易兹,221
宫出口瑞灵,219
北白河千百合,207
牛崎润美,193
小兔姬,182
坂田合欢,180
驹草山如,174
矜羯罗,163
毛玉,162
云山,156
舞,155
水獭灵,152
依莉斯,152
爱莲,151
艾丽,150
影华扇（断善修恶的怪臂 - 茨木童子之臂）,139
雪,137
大鲶鱼,135
留琴,133
里香,125
蓬莱人形碟面的少女（Label子）,124
蕾拉·普莉兹姆利巴,123
明罗,109
朝仓理香子,101
核热造神非想天则,96
飞碟（红、蓝、绿、其他）,94
蛞蝓（蛞蝓卫门）,91
旧作的无名道中Boss,91
幽幻魔眼,85
神玉,78
野槌,78
玄爷,77
乌鸦（地狱鸦、紫和文的使魔等）,76
睡鼠,69
咪咪号,67
嫦娥,66
奥莲姬,62
都市传说的怪异（阿菊、八尺大人等）,61
妖精（女仆妖精、向日葵妖精等）,57
菊理,53
野狼灵,50
华扇的宠物（久米、竿打、雷兽（务光）、彭祖、人面犬等）,49
卓柏卡布拉,47
河童（含山童）,42
萨拉,41
兔子（玉兔、永远亭的妖怪兔等）,41
大鹫灵,40
村里的人类（在文花帖、求闻史记、铃奈庵等登场的人类）,40
龙（子龙、邪龙等）,36
袈裟罗婆娑罗,34
岩笠,29
狐（妖怪狐、年幼的妖狐等）,29
酒虫,27
万岁乐,26
地精,25
天狗（香霖堂的天狗、大天狗等）,25
命莲,21
降神的神灵（天照、伊豆能卖等）,20
毘沙门天,18
木花咲耶姬,18
仙台四郎（福神）,17
蟒蛇,15
狸（妖怪狸、野铁炮等）,15
幽灵（包括怨灵、神灵、旧作的一种杂鱼）,13
盐家老板,12
月之都的门卫,10
沓颊,10
运松翁,9
小铃的父母,8
水江浦岛子（瑞江浦岛子）,7
烟烟罗,6
座敷童子,5
