角色名,票数
博丽灵梦,7731
东风谷早苗,7221
雾雨魔理沙,6766
十六夜咲夜,6763
蕾米莉亚·斯卡蕾特,6747
爱丽丝·玛格特洛依德,6238
风见幽香,5764
古明地觉,5471
藤原妹红,5441
芙兰朵露·斯卡蕾特,5365
西行寺幽幽子,5274
八云紫,5269
魂魄妖梦,4510
灵乌路空,4357
圣白莲,4335
帕秋莉·诺蕾姬,4259
洩矢诹访子,4120
射命丸文,4076
比那名居天子,3557
红美铃,3480
多多良小伞,3306
古明地恋,3283
琪露诺,3243
河城荷取,3140
娜兹玲,3107
四季映姬·夜摩仙那度,2889
伊吹萃香,2835
永江衣玖,2813
键山雏,2742
上白泽慧音,2729
八云蓝,2721
铃仙·优昙华院·因幡,2643
蓬莱山辉夜,2542
八坂神奈子,2462
水桥帕露西,2431
犬走椛,2261
寅丸星,2158
露米娅,2120
小野塚小町,1988
米斯蒂娅·萝蕾拉,1807
封兽鵺,1783
村纱水蜜,1765
八意永琳,1765
橙,1684
森近霖之助,1647
秋穰子,1523
火焰猫燐,1523
秋静叶,1480
露娜萨·普莉兹姆利巴,1365
星熊勇仪,1328
宇佐见莲子,1320
大妖精,1204
蕾蒂·霍瓦特洛克,1082
因幡天为（因幡帝）,1076
小恶魔,1031
魅魔,1011
莉格露·奈特巴格,962
稗田阿求,859
梅蒂欣·梅兰可莉,856
云居一轮,784
神绮,722
冈崎梦美,643
黑谷山女,629
绵月依姬,609
露娜切露德,562
玛艾露贝莉·赫恩,511
莉莉卡·普莉兹姆利巴,480
爱丽丝的人偶（上海、蓬莱、大江户等）,458
莉莉霍瓦特（莉莉白）,455
梅露兰·普莉兹姆利巴,446
桑尼米尔克,368
琪斯美,354
无名的读书妖怪（朱鹭子）,354
云山,324
核热造神非想天则,302
大鲶鱼,217
斯塔萨菲雅,195
绵月丰姬,184
幻月,174
魂魄妖忌,157
北白河千百合,150
铃仙二号,146
卡娜·安娜贝拉尔,142
艾丽,133
舞,122
梦子,119
毛玉,114
雪,102
飞碟（红、蓝、绿、其他）,95
萨丽爱尔,83
野槌,81
明罗,78
蕾拉·普莉兹姆利巴,72
妖精（女仆妖精、向日葵妖精等）,65
小兔姬,65
胡桃,59
梦月,55
朝仓理香子,52
爱莲,44
菊理,44
酒虫,44
留琴,39
矜羯罗,37
里香,32
玄爷,30
奥莲姬,29
咪咪号,27
幽幻魔眼,27
毘沙门天,26
永远亭的妖怪兔,25
露易兹,23
依莉斯,21
萨拉,21
命莲,18
岩笠,17
乌鸦（地狱鸦、紫和文的使魔等）,17
幽灵（包括怨灵、旧作的一种杂鱼）,12
神玉,12
月之都的门卫,11
木花咲耶姬,9
大蛤蟆,8
月之兔（玉兔）,7
大天狗,5
水江浦岛子（瑞江浦岛子）,3
