角色名,票数
魂魄妖梦,12951
雾雨魔理沙,11816
博丽灵梦,11404
古明地恋,10683
芙兰朵露·斯卡蕾特,10335
十六夜咲夜,10015
蕾米莉亚·斯卡蕾特,9482
藤原妹红,6589
古明地觉,6305
西行寺幽幽子,5955
射命丸文,5799
爱丽丝·玛格特洛依德,5608
东风谷早苗,5261
铃仙·优昙华院·因幡,5249
比那名居天子,4679
八云紫,4571
秦心,4363
琪露诺,4226
帕秋莉·诺蕾姬,4128
多多良小伞,3818
露米娅,3726
洩矢诹访子,3609
四季映姬·夜摩仙那度,3535
风见幽香,3339
红美铃,3242
丰聪耳神子,3181
犬走椛,3149
纯狐,3048
鬼人正邪,2928
依神紫苑,2791
伊吹萃香,2684
物部布都,2583
稀神探女,2543
赫卡提亚·拉碧斯拉祖利,2467
蓬莱山辉夜,2421
河城荷取,2371
八云蓝,2314
宇佐见莲子,2290
灵乌路空,2276
茨木华扇,2190
水桥帕露西,2184
摩多罗隐岐奈,1968
封兽鵺,1967
天弓千亦,1834
键山雏,1825
埴安神袿姬,1809
圣白莲,1805
八意永琳,1724
火焰猫燐,1700
哆来咪·苏伊特,1649
村纱水蜜,1613
克劳恩皮丝,1609
上白泽慧音,1555
玛艾露贝莉·赫恩,1423
菅牧典,1409
宇佐见堇子,1389
饭纲丸龙,1370
吉吊八千慧,1364
霍青娥,1326
大妖精,1273
橙,1264
姬虫百百世,1246
娜兹玲,1207
赤蛮奇,1176
因幡天为（因幡帝）,1176
今泉影狼,1175
小恶魔,1141
庭渡久侘歌,1131
星熊勇仪,1125
本居小铃,1125
米斯蒂娅·萝蕾拉,1109
小野塚小町,1090
少名针妙丸,1089
苏我屠自古,1072
姬海棠果,1072
永江衣玖,1070
杖刀偶磨弓,1030
八坂神奈子,1015
森近霖之助,1003
依神女苑,972
二岩猯藏,964
魅魔,958
稗田阿求,917
露娜萨·普莉兹姆利巴,903
莉格露·奈特巴格,897
堀川雷鼓,830
宫古芳香,773
骊驹早鬼,770
豪德寺三花,764
绵月依姬,755
莉莉霍瓦特（莉莉白）,750
奥野田美宵,726
秋静叶,722
秋穰子,708
梅蒂欣·梅兰可莉,696
高丽野阿吽,667
若鹭姬,662
神绮,661
寅丸星,651
丁礼田舞,646
冈崎梦美,621
幽谷响子,617
蕾蒂·霍瓦特洛克,604
黑谷山女,581
尔子田里乃,576
玉造魅须丸,556
绵月丰姬,546
清兰,521
易者,518
露娜切露德,490
梅露兰·普莉兹姆利巴,481
云居一轮,479
幻月,478
斯塔萨菲雅,473
九十九弁弁,457
爱丽丝的人偶（上海、蓬莱、大江户等）,401
莉莉卡·普莉兹姆利巴,397
无名的读书妖怪（朱鹭子）,360
山城高岭,356
桑尼米尔克,345
爱塔妮缇拉尔瓦,340
铃瑚,339
铃仙二号,317
九十九八桥,310
矢田寺成美,297
卡娜·安娜贝拉尔,290
梦月,251
蓬莱人形封面的少女（夹克子）,243
梦子,221
抗抑郁药大叔（长相酷似周杰伦的村民）,216
胡桃,205
魂魄妖忌,201
萨丽爱尔,199
坂田合欢,192
北白河千百合,180
牛崎润美,179
琪斯美,178
驹草山如,171
毛玉,163
云山,163
爱莲,157
矜羯罗,156
戎璎花,149
依莉斯,141
舞,139
艾丽,132
雪,132
水獭灵,130
影华扇（断善修恶的怪臂 - 茨木童子之臂）,125
大鲶鱼,123
留琴,117
飞碟（红、蓝、绿、其他）,104
小兔姬,100
蓬莱人形碟面的少女（Label子）,91
里香,87
旧作的无名道中Boss,83
明罗,80
蕾拉·普莉兹姆利巴,79
妖精（女仆妖精、向日葵妖精等）,73
玄爷,66
朝仓理香子,65
幽幻魔眼,64
核热造神非想天则,64
嫦娥,62
露易兹,61
奥莲姬,59
神玉,59
野槌,58
咪咪号,53
蛞蝓（蛞蝓卫门）,52
卓柏卡布拉,49
大鹫灵,47
乌鸦（地狱鸦、紫和文的使魔等）,46
萨拉,44
菊理,43
野狼灵,39
华扇的宠物（久米、竿打、雷兽（务光）、彭祖、人面犬等）,39
龙（子龙、邪龙等）,34
村里的人类（在文花帖、求闻史记、铃奈庵等登场的人类）,33
河童（含山童）,33
兔子（玉兔、永远亭的妖怪兔等）,33
酒虫,28
狐（妖怪狐、年幼的妖狐等）,28
都市传说的怪异（阿菊、八尺大人等）,27
地精,24
袈裟罗婆娑罗,23
岩笠,21
天狗（香霖堂的天狗、大天狗等）,18
命莲,16
万岁乐,16
木花咲耶姬,15
降神的神灵（天照、伊豆能卖等）,14
幽灵（包括怨灵、神灵、旧作的一种杂鱼）,13
盐家老板,12
运松翁,12
月之都的门卫,12
蟒蛇,11
毘沙门天,9
仙台四郎（福神）,9
睡鼠,9
小铃的父母,9
狸（妖怪狸、野铁炮等）,8
座敷童子,7
水江浦岛子（瑞江浦岛子）,6
烟烟罗,4
沓颊,2
