角色名,票数
雾雨魔理沙,2284
魂魄妖梦,1802
十六夜咲夜,1746
西行寺幽幽子,1502
铃仙·优昙华院·因幡,1482
博丽灵梦,1391
上白泽慧音,996
蕾米莉亚·斯卡蕾特,843
八云蓝,809
爱丽丝·玛格特洛依德,759
八云紫,720
藤原妹红,609
红美铃,532
帕秋莉·诺蕾姬,513
芙兰朵露·斯卡蕾特,486
八意永琳,387
橙,302
蓬莱山辉夜,298
露米娅,248
露娜萨·普莉兹姆利巴,246
琪露诺,234
因幡帝,234
莉莉霍瓦特,143
米斯蒂娅·萝蕾拉,120
蕾蒂·霍瓦特洛克,116
魅魔,68
小恶魔,65
莉格露·奈特巴格,64
梅露兰·普莉兹姆利巴,62
莉莉卡·普莉兹姆利巴,45
森近霖之助,43
莲子（宇佐见莲子）,38
北白河千百合,37
幽香,36
神绮,29
无名的读书妖怪（朱鹭子）,24
冈崎梦美,16
大妖精,13
舞1,9
雪1,8
梅莉（玛艾露贝莉·赫恩）,8
爱莲,7
玄爷,7
小兔姬,6
VIVIT,6
盖茨,6
艾丽,5
毛玉2,5
朝仓理香子,4
卡娜·安娜贝拉尔,3
埃利希,3
上海人偶,3
梦月,2
胡桃,2
幻月,2
明罗,2
玛丽,2
萨拉,1
梦子,1
其他,1
