角色名,票数
雾雨魔理沙,17612
博丽灵梦,16497
芙兰朵露·斯卡蕾特,16343
古明地恋,14150
魂魄妖梦,13751
十六夜咲夜,13173
蕾米莉亚·斯卡蕾特,12575
藤原妹红,8748
古明地觉,8629
西行寺幽幽子,7224
爱丽丝·玛格特洛依德,6774
东风谷早苗,6535
射命丸文,6429
铃仙·优昙华院·因幡,6194
琪露诺,5981
八云紫,5552
比那名居天子,5139
帕秋莉·诺蕾姬,5061
露米娅,4933
洩矢诹访子,4749
秦心,4660
多多良小伞,4403
红美铃,4335
八云蓝,4064
四季映姬·夜摩仙那度,3815
风见幽香,3813
犬走椛,3517
纯狐,3483
饕餮尤魔,3466
伊吹萃香,3451
丰聪耳神子,3257
依神紫苑,3175
灵乌路空,3162
蓬莱山辉夜,2966
鬼人正邪,2953
稀神探女,2920
水桥帕露西,2844
赫卡提亚·拉碧斯拉祖利,2830
物部布都,2763
河城荷取,2630
火焰猫燐,2615
宇佐见莲子,2615
茨木华扇,2462
摩多罗隐岐奈,2428
键山雏,2358
吉吊八千慧,2150
菅牧典,1993
娜兹玲,1984
圣白莲,1983
橙,1946
封兽鵺,1940
豫母都日狭美,1907
八意永琳,1829
玛艾露贝莉·赫恩,1762
上白泽慧音,1709
哆来咪·苏伊特,1651
小恶魔,1628
埴安神袿姬,1605
村纱水蜜,1590
霍青娥,1531
大妖精,1517
克劳恩皮丝,1509
米斯蒂娅·萝蕾拉,1501
天弓千亦,1456
赤蛮奇,1454
饭纲丸龙,1444
因幡天为（因幡帝）,1414
日白残无,1403
今泉影狼,1365
魅魔,1355
三头慧之子,1348
本居小铃,1330
永江衣玖,1324
天火人血枪,1310
二岩猯藏,1302
八坂神奈子,1287
依神女苑,1287
孙美天,1269
庭渡久侘歌,1255
宇佐见堇子,1213
骊驹早鬼,1198
星熊勇仪,1194
森近霖之助,1173
姬海棠果,1145
苏我屠自古,1140
稗田阿求,1112
莉格露·奈特巴格,1108
小野塚小町,1105
露娜萨·普莉兹姆利巴,1060
莉莉霍瓦特（莉莉白）,981
少名针妙丸,975
奥野田美宵,966
高丽野阿吽,962
神绮,903
秋静叶,873
梅蒂欣·梅兰可莉,866
宫古芳香,853
绵月依姬,853
堀川雷鼓,840
秋穰子,811
姬虫百百世,805
清兰,767
冈崎梦美,767
寅丸星,746
若鹭姬,692
蕾蒂·霍瓦特洛克,689
杖刀偶磨弓,639
斯塔萨菲雅,624
驹草山如,615
幽谷响子,606
露娜切露德,604
黑谷山女,576
梅露兰·普莉兹姆利巴,559
丁礼田舞,530
绵月丰姬,522
豪德寺三花,505
爱丽丝的人偶（上海、蓬莱、大江户等）,476
幻月,472
易者,472
莉莉卡·普莉兹姆利巴,471
桑尼米尔克,465
无名的读书妖怪（朱鹭子）,448
九十九弁弁,439
云居一轮,438
尔子田里乃,398
蓬莱人形封面的少女（夹克子）,396
铃仙二号,389
爱塔妮缇拉尔瓦,383
铃瑚,361
卡娜·安娜贝拉尔,322
矢田寺成美,303
萨丽爱尔,299
梦子,288
梦月,267
九十九八桥,254
宫出口瑞灵,249
琪斯美,239
抗抑郁药大叔（长相酷似周杰伦的村民）,239
山城高岭,237
胡桃,230
玉造魅须丸,230
北白河千百合,216
戎璎花,215
魂魄妖忌,215
依莉斯,191
爱莲,179
牛崎润美,176
坂田合欢,174
小兔姬,172
矜羯罗,167
影华扇（断善修恶的怪臂 - 茨木童子之臂）,166
毛玉,164
水獭灵,163
艾丽,158
明罗,154
云山,149
舞,147
大鲶鱼,125
蓬莱人形碟面的少女（Label子）,125
蕾拉·普莉兹姆利巴,121
留琴,119
雪,117
里香,109
朝仓理香子,95
飞碟（红、蓝、绿、其他）,92
妖精（女仆妖精、向日葵妖精等）,86
玄爷,81
露易兹,77
核热造神非想天则,77
幽幻魔眼,75
萨拉,75
咪咪号,71
旧作的无名道中Boss,70
神玉,69
乌鸦（地狱鸦、紫和文的使魔等）,61
卓柏卡布拉,58
野槌,57
奥莲姬,55
嫦娥,53
蛞蝓（蛞蝓卫门）,51
鲵吞亭的常客,50
华扇的宠物（久米、竿打、雷兽（务光）、彭祖、人面犬等）,49
野狼灵,48
菊理,48
大鹫灵,44
河童（含山童）,44
兔子（玉兔、永远亭的妖怪兔等）,41
狐（妖怪狐、年幼的妖狐等）,37
村里的人类（在文花帖、求闻史记、铃奈庵等登场的人类）,36
地精,31
龙（子龙、邪龙等）,28
莱卡,28
幽灵（包括怨灵、神灵、旧作的一种杂鱼）,27
都市传说的怪异（阿菊、八尺大人等）,25
万岁乐,23
木花咲耶姬,21
鲵吞亭店主,20
命莲,19
酒虫,19
小铃的父母,19
岩笠,18
袈裟罗婆娑罗,18
蟒蛇,18
降神的神灵（天照、伊豆能卖等）,17
盐家老板,14
天狗（香霖堂的天狗、大天狗等）,13
月之都的门卫,12
仙台四郎（福神）,12
座敷童子,12
狸（妖怪狸、野铁炮等）,12
运松翁,11
毘沙门天,10
睡鼠,10
烟烟罗,6
沓颊,6
水江浦岛子（瑞江浦岛子）,5
