角色名,票数
古明地恋,7859
博丽灵梦,7332
雾雨魔理沙,7227
十六夜咲夜,6241
芙兰朵露·斯卡蕾特,5972
魂魄妖梦,5443
蕾米莉亚·斯卡蕾特,5327
藤原妹红,5290
古明地觉,5124
爱丽丝·玛格特洛依德,4945
射命丸文,4640
东风谷早苗,4157
比那名居天子,3656
秦心,3561
西行寺幽幽子,3549
铃仙·优昙华院·因幡,3219
八云紫,3165
风见幽香,3065
帕秋莉·诺蕾姬,2823
多多良小伞,2634
犬走椛,2624
宇佐见莲子,2577
红美铃,2526
灵乌路空,2423
物部布都,2373
圣白莲,2311
水桥帕露西,2303
鬼人正邪,2303
露米娅,2291
河城荷取,2237
四季映姬·夜摩仙那度,2204
少名针妙丸,2164
洩矢诹访子,2138
茨木华扇,2133
丰聪耳神子,2126
八云蓝,2102
琪露诺,2074
封兽鵺,1940
蓬莱山辉夜,1939
上白泽慧音,1514
永江衣玖,1513
伊吹萃香,1498
键山雏,1426
娜兹玲,1413
火焰猫燐,1398
今泉影狼,1383
宇佐见堇子,1364
二岩猯藏,1343
霍青娥,1272
米斯蒂娅·萝蕾拉,1240
玛艾露贝莉·赫恩,1231
小野塚小町,1091
赤蛮奇,1079
橙,1077
本居小铃,1042
八意永琳,1034
大妖精,1022
寅丸星,1012
八坂神奈子,952
姬海棠果,944
星熊勇仪,901
因幡天为（因幡帝）,897
堀川雷鼓,887
森近霖之助,868
云居一轮,841
村纱水蜜,830
露娜萨·普莉兹姆利巴,793
幽谷响子,786
稗田阿求,785
小恶魔,745
秋静叶,738
冈崎梦美,715
秋穰子,678
梅蒂欣·梅兰可莉,623
莉格露·奈特巴格,617
黑谷山女,604
苏我屠自古,598
宫古芳香,561
神绮,561
若鹭姬,560
魅魔,535
蕾蒂·霍瓦特洛克,532
绵月依姬,524
九十九弁弁,356
露娜切露德,338
斯塔萨菲雅,319
莉莉卡·普莉兹姆利巴,308
莉莉霍瓦特（莉莉白）,307
幻月,307
桑尼米尔克,286
九十九八桥,268
梅露兰·普莉兹姆利巴,261
无名的读书妖怪（朱鹭子）,253
琪斯美,243
绵月丰姬,232
爱丽丝的人偶（上海、蓬莱、大江户等）,224
卡娜·安娜贝拉尔,199
梦月,160
梦子,135
易者,129
铃仙二号,120
云山,119
北白河千百合,118
萨丽爱尔,116
舞,115
艾丽,112
雪,100
核热造神非想天则,99
胡桃,97
爱莲,92
矜羯罗,83
小兔姬,82
魂魄妖忌,78
毛玉,76
里香,65
蕾拉·普莉兹姆利巴,64
露易兹,58
明罗,56
依莉斯,56
妖精（女仆妖精、向日葵妖精等）,54
大鲶鱼,53
幽幻魔眼,52
地精,44
留琴,43
飞碟（红、蓝、绿、其他）,42
奥莲姬,41
朝仓理香子,39
万岁乐,38
野槌,37
酒虫,36
卓柏卡布拉,35
河童（山童）,30
八尺大人,30
咪咪号,28
玄爷,27
邪龙,26
阿菊,26
岩笠,25
运松翁,25
年幼的妖狐,23
妖怪狐,23
雷兽（务光）,23
萨拉,22
月之兔（玉兔）,20
神玉,19
雷蜥蜴,18
永远亭的妖怪兔,17
菊理,17
大鹫（久米、竿打）,16
命莲,14
乌鸦（地狱鸦、紫和文的使魔等）,14
蟒蛇,14
尼西号,14
仙台四郎（福神）,13
人面犬,11
毘沙门天,10
烟烟罗,9
降神的神灵（天照、伊豆能卖等）,8
小铃的父母,8
木花咲耶姬,8
座敷童子,7
沓颊,7
幽灵（包括怨灵、旧作的一种杂鱼）,7
妖怪狸,6
月之都的门卫,6
天狗（大天狗等）,6
彭祖,6
野铁炮,4
子龙,3
绿色小人,2
大蛤蟆,1
水江浦岛子（瑞江浦岛子）,0
