角色名,票数
博丽灵梦,10674
雾雨魔理沙,8990
古明地恋,8874
魂魄妖梦,8495
十六夜咲夜,8282
芙兰朵露·斯卡蕾特,8202
蕾米莉亚·斯卡蕾特,7533
古明地觉,6847
爱丽丝·玛格特洛依德,6563
射命丸文,6476
藤原妹红,6298
东风谷早苗,5092
铃仙·优昙华院·因幡,4839
西行寺幽幽子,4609
比那名居天子,4538
秦心,4469
八云紫,4300
犬走椛,4174
多多良小伞,4068
帕秋莉·诺蕾姬,3676
稀神探女,3674
风见幽香,3646
露米娅,3569
红美铃,3478
宇佐见莲子,3241
四季映姬·夜摩仙那度,3174
纯狐,3117
鬼人正邪,3044
水桥帕露西,3035
克劳恩皮丝,2839
河城荷取,2818
洩矢诹访子,2813
灵乌路空,2790
八云蓝,2754
琪露诺,2679
封兽鵺,2667
物部布都,2624
蓬莱山辉夜,2483
圣白莲,2345
茨木华扇,2341
丰聪耳神子,2273
赫卡提亚·拉碧斯拉祖利,2234
今泉影狼,2170
伊吹萃香,2091
键山雏,2067
娜兹玲,2065
火焰猫燐,1879
米斯蒂娅·萝蕾拉,1847
永江衣玖,1798
上白泽慧音,1776
玛艾露贝莉·赫恩,1760
本居小铃,1550
少名针妙丸,1549
宇佐见堇子,1549
姬海棠果,1547
霍青娥,1538
八意永琳,1505
赤蛮奇,1493
橙,1492
易者,1381
大妖精,1365
小恶魔,1358
因幡天为（因幡帝）,1345
二岩猯藏,1306
稗田阿求,1278
小野塚小町,1267
八坂神奈子,1243
堀川雷鼓,1226
星熊勇仪,1198
寅丸星,1146
哆来咪·苏伊特,1146
苏我屠自古,1109
幽谷响子,1104
村纱水蜜,1097
森近霖之助,1084
秋静叶,1041
露娜萨·普莉兹姆利巴,988
秋穰子,942
神绮,899
莉格露·奈特巴格,860
冈崎梦美,814
黑谷山女,800
宫古芳香,791
梅蒂欣·梅兰可莉,780
清兰,773
若鹭姬,771
云居一轮,768
魅魔,735
绵月依姬,720
铃瑚,679
蕾蒂·霍瓦特洛克,643
九十九弁弁,540
露娜切露德,532
幻月,528
抗抑郁药大叔（长相酷似周杰伦的村民）,526
九十九八桥,483
斯塔萨菲雅,481
莉莉霍瓦特（莉莉白）,454
桑尼米尔克,436
爱丽丝的人偶（上海、蓬莱、大江户等）,379
梅露兰·普莉兹姆利巴,376
莉莉卡·普莉兹姆利巴,368
绵月丰姬,363
无名的读书妖怪（朱鹭子）,361
梦月,314
琪斯美,308
卡娜·安娜贝拉尔,281
梦子,256
蓬莱人形封面的少女（夹克子）1,227
萨丽爱尔,226
铃仙二号,203
北白河千百合,176
胡桃,161
舞,158
云山,156
小兔姬,143
爱莲,140
艾丽,139
魂魄妖忌,136
矜羯罗,135
雪,133
嫦娥,133
依莉斯,119
毛玉,117
里香,113
蛞蝓（蛞蝓卫门）,106
蓬莱人形碟面的少女（Label子）1,104
核热造神非想天则,98
都市传说的怪异（阿菊、八尺大人等）,92
蕾拉·普莉兹姆利巴,87
妖精（女仆妖精、向日葵妖精等）,87
明罗,86
大鲶鱼,84
留琴,84
幽幻魔眼,74
露易兹,74
河童（含山童）,64
飞碟（红、蓝、绿、其他）,62
神玉,61
朝仓理香子,61
龙（子龙、邪龙等）,61
狐（妖怪狐、年幼的妖狐等）,50
兔子（玉兔、永远亭的妖怪兔等）,47
蟒蛇,46
萨拉,43
野槌,43
菊理,42
玄爷,41
卓柏卡布拉,41
奥莲姬,40
地精,40
狸（妖怪狸、野铁炮等）,38
岩笠,37
万岁乐,37
酒虫,36
命莲,35
咪咪号,32
乌鸦（地狱鸦、紫和文的使魔等）,31
华扇的宠物（久米、竿打、雷兽（务光）、彭祖、人面犬等）,30
袈裟罗婆娑罗,27
盐家老板,25
天狗（香霖堂的天狗、大天狗等）,22
木花咲耶姬,18
运松翁,16
降神的神灵（天照、伊豆能卖等）,15
仙台四郎（福神）,14
水江浦岛子（瑞江浦岛子）,12
毘沙门天,11
小铃的父母,10
幽灵（包括怨灵、神灵、旧作的一种杂鱼）,9
月之都的门卫,8
座敷童子,8
烟烟罗,8
沓颊,6
睡鼠,5
