角色名,票数
博丽灵梦,5739
十六夜咲夜,5433
雾雨魔理沙,5380
东风谷早苗,5315
蕾米莉亚·斯卡蕾特,4945
八云紫,4471
藤原妹红,4162
爱丽丝·玛格特洛依德,4065
风见幽香,4005
西行寺幽幽子,3973
射命丸文,3738
芙兰朵露·斯卡蕾特,3654
古明地觉,3591
帕秋莉·诺蕾姬,3450
魂魄妖梦,3277
永江衣玖,2826
洩矢诹访子,2691
琪露诺,2604
比那名居天子,2603
伊吹萃香,2444
八云蓝,2425
红美铃,2415
上白泽慧音,2214
四季映姬·夜摩仙那度,2200
河城荷取,2116
铃仙·优昙华院·因幡,2086
键山雏,1945
灵乌路空,1917
犬走椛,1816
蓬莱山辉夜,1775
小野塚小町,1728
八坂神奈子,1659
八意永琳,1581
火焰猫燐,1499
古明地恋,1446
橙,1399
水桥帕露西,1375
露米娅,1362
米斯蒂娅·萝蕾拉,1329
森近霖之助,1225
星熊勇仪,1189
露娜萨·普莉兹姆利巴,1090
因幡天为（因幡帝）,932
小恶魔,823
魅魔,820
宇佐见莲子,801
蕾蒂·霍瓦特洛克,790
莉格露·奈特巴格,725
秋穰子,712
秋静叶,706
稗田阿求,649
大妖精,592
梅蒂欣·梅兰可莉,500
神绮,451
爱丽丝的人偶（上海、蓬莱、大江户等）1,399
黑谷山女,386
露娜切露德,370
莉莉卡·普莉兹姆利巴,343
冈崎梦美,339
梅露兰·普莉兹姆利巴,309
琪斯美,292
莉莉霍瓦特（莉莉白）,290
玛艾露贝莉·赫恩,279
绵月依姬,256
桑尼米尔克,227
无名的读书妖怪（朱鹭子）,146
绵月丰姬,139
斯塔萨菲雅,123
北白河千百合,115
魂魄妖忌,107
卡娜·安娜贝拉尔,105
幻月,99
艾丽,90
毛玉,76
铃仙二号,64
舞,57
雪,53
梦子,52
蕾拉·普莉兹姆利巴,50
明罗,43
爱莲,39
小兔姬,37
野槌,34
胡桃,31
玄爷,25
梦月,24
里香,21
矜羯罗,20
朝仓理香子,19
露易兹,18
妖精（女仆妖精、向日葵妖精等）2,18
幽灵（包括怨灵、旧作的一种杂鱼）3,18
奥莲姬,17
永远亭的妖怪兔,16
萨丽爱尔,13
留琴,13
幽幻魔眼,12
月之都的门卫,12
乌鸦（地狱鸦、紫和文的使魔等）4,12
酒虫,11
岩笠,9
神玉,9
依莉斯,7
月之兔（玉兔）,7
萨拉,7
木花咲耶姬,7
大蛤蟆,5
菊理,3
