角色名,票数
博丽灵梦,7314
雾雨魔理沙,6495
古明地恋,6063
十六夜咲夜,5848
芙兰朵露·斯卡蕾特,5488
爱丽丝·玛格特洛依德,5383
蕾米莉亚·斯卡蕾特,5089
魂魄妖梦,4896
古明地觉,4883
射命丸文,4638
东风谷早苗,4573
藤原妹红,3934
风见幽香,3885
西行寺幽幽子,3718
秦心,3633
八云紫,3523
比那名居天子,3468
帕秋莉·诺蕾姬,3039
灵乌路空,2902
圣白莲,2688
犬走椛,2543
红美铃,2445
铃仙·优昙华院·因幡,2346
河城荷取,2301
水桥帕露西,2216
洩矢诹访子,2206
八云蓝,2177
多多良小伞,2146
蓬莱山辉夜,2080
茨木华扇,2043
四季映姬·夜摩仙那度,2030
琪露诺,2006
露米娅,1973
少名针妙丸,1964
物部布都,1957
丰聪耳神子,1936
宇佐见莲子,1889
封兽鵺,1887
永江衣玖,1864
伊吹萃香,1719
键山雏,1705
今泉影狼,1659
火焰猫燐,1634
上白泽慧音,1608
霍青娥,1396
娜兹玲,1375
米斯蒂娅·萝蕾拉,1283
寅丸星,1220
八坂神奈子,1205
小野塚小町,1204
本居小铃,1162
赤蛮奇,1153
八意永琳,1133
姬海棠果,1126
二岩猯藏,1122
鬼人正邪,1107
大妖精,1078
堀川雷鼓,1060
稗田阿求,956
村纱水蜜,956
橙,944
玛艾露贝莉·赫恩,929
星熊勇仪,922
秋静叶,899
森近霖之助,891
秋穰子,881
幽谷响子,844
因幡天为（因幡帝）,841
露娜萨·普莉兹姆利巴,771
云居一轮,757
小恶魔,740
冈崎梦美,731
梅蒂欣·梅兰可莉,723
若鹭姬,702
黑谷山女,691
苏我屠自古,647
宫古芳香,636
莉格露·奈特巴格,603
魅魔,571
蕾蒂·霍瓦特洛克,564
神绮,563
绵月依姬,476
露娜切露德,463
九十九弁弁,430
斯塔萨菲雅,384
桑尼米尔克,373
莉莉霍瓦特（莉莉白）,365
莉莉卡·普莉兹姆利巴,294
无名的读书妖怪（朱鹭子）,288
绵月丰姬,279
九十九八桥,269
梅露兰·普莉兹姆利巴,246
琪斯美,243
爱丽丝的人偶（上海、蓬莱、大江户等）,233
幻月,220
卡娜·安娜贝拉尔,147
云山,140
梦子,125
铃仙二号,124
舞,103
艾丽,101
萨丽爱尔,98
北白河千百合,95
梦月,94
雪,81
地精,78
毛玉,75
胡桃,75
核热造神非想天则,73
魂魄妖忌,72
小兔姬,69
里香,67
矜羯罗,65
爱莲,64
妖精（女仆妖精、向日葵妖精等）,59
蕾拉·普莉兹姆利巴,53
依莉斯,50
幽幻魔眼,45
大鲶鱼,38
萨拉,37
朝仓理香子,36
飞碟（红、蓝、绿、其他）,34
明罗,34
奥莲姬,33
卓柏卡布拉,31
露易兹,31
玄爷,29
咪咪号,28
岩笠,26
野槌,25
留琴,25
神玉,23
菊理,22
永远亭的妖怪兔,21
河童（山童）1,21
酒虫,18
雷兽（务光）,18
命莲,18
月之都的门卫,15
幽灵（包括怨灵、旧作的一种杂鱼）,15
月之兔（玉兔）,15
邪龙,14
妖怪狐,10
仙台四郎（福神）,9
降神的神灵（天照、伊豆能卖等）,9
运松翁,9
乌鸦（地狱鸦、紫和文的使魔等）,8
水江浦岛子（瑞江浦岛子）,8
子龙,7
大蛤蟆,7
大鹫（久米、竿打）,7
妖怪狸,6
木花咲耶姬,6
天狗（大天狗等）,6
座敷童子,5
烟烟罗,4
野铁炮,4
毘沙门天,4
沓颊,1
