名次,角色名,票数,本命数,本命率,本命加权,票数占比,本命占比
1,博丽灵梦,1540,458,0.2974,1998,0.2607,0.0889
2,雾雨魔理沙,1055,331,0.3137,1386,0.1786,0.0643
3,蕾米莉亚·斯卡蕾特,1049,259,0.2469,1308,0.1776,0.0503
4,八云紫,956,220,0.2301,1176,0.1618,0.0427
5,西行寺幽幽子,941,271,0.288,1212,0.1593,0.0526
6,芙兰朵露·斯卡蕾特,919,253,0.2753,1172,0.1556,0.0491
7,十六夜咲夜,914,235,0.2571,1149,0.1547,0.0456
8,爱丽丝·玛格特洛依德,802,207,0.2581,1009,0.1357,0.0402
9,藤原妹红,745,200,0.2685,945,0.1261,0.0388
10,帕秋莉·诺蕾姬,654,173,0.2645,827,0.1107,0.0336
11,射命丸文,649,183,0.282,832,0.1099,0.0355
12,东风谷早苗,615,152,0.2472,767,0.1041,0.0295
13,秦心,612,50,0.0817,662,0.1036,0.0097
14,古明地觉,604,130,0.2152,734,0.1022,0.0252
15,魂魄妖梦,598,170,0.2843,768,0.1012,0.033
16,古明地恋,588,119,0.2024,707,0.0995,0.0231
17,琪露诺,544,135,0.2482,679,0.0921,0.0262
18,风见幽香,512,120,0.2344,632,0.0867,0.0233
19,蓬莱山辉夜,506,91,0.1798,597,0.0856,0.0177
20,铃仙·优昙华院·因幡,406,87,0.2143,493,0.0687,0.0169
21,伊吹萃香,402,80,0.199,482,0.068,0.0155
22,比那名居天子,386,86,0.2228,472,0.0653,0.0167
23,红美铃,350,85,0.2429,435,0.0592,0.0165
24,键山雏,294,79,0.2687,373,0.0498,0.0153
25,上白泽慧音,286,42,0.1469,328,0.0484,0.0082
26,四季映姬·亚玛萨那度,276,60,0.2174,336,0.0467,0.0116
27,圣白莲,256,43,0.168,299,0.0433,0.0083
28,洩矢诹访子,253,54,0.2134,307,0.0428,0.0105
29,丰聪耳神子,227,40,0.1762,267,0.0384,0.0078
30,物部布都,199,34,0.1709,233,0.0337,0.0066
30,露米娅,199,27,0.1357,226,0.0337,0.0052
32,灵乌路空,195,60,0.3077,255,0.033,0.0116
33,八云蓝,193,37,0.1917,230,0.0327,0.0072
34,宇佐见莲子,191,26,0.1361,217,0.0323,0.005
35,八意永琳,185,36,0.1946,221,0.0313,0.007
36,水桥帕露西,165,28,0.1697,193,0.0279,0.0054
37,多多良小伞,143,31,0.2168,174,0.0242,0.006
38,封兽鵺,130,24,0.1846,154,0.022,0.0047
38,堀川雷鼓,130,11,0.0846,141,0.022,0.0021
40,稗田阿求,128,19,0.1484,147,0.0217,0.0037
41,犬走椛,127,24,0.189,151,0.0215,0.0047
42,霍青娥,120,16,0.1333,136,0.0203,0.0031
43,玛艾露贝莉·赫恩,117,10,0.0855,127,0.0198,0.0019
44,茨木华扇,113,22,0.1947,135,0.0191,0.0043
45,少名针妙丸,112,4,0.0357,116,0.019,0.0008
46,河城荷取,111,15,0.1351,126,0.0188,0.0029
47,小野塚小町,107,21,0.1963,128,0.0181,0.0041
48,火焰猫燐,102,10,0.098,112,0.0173,0.0019
48,鬼人正邪,102,5,0.049,107,0.0173,0.001
50,二岩猯藏,97,13,0.134,110,0.0164,0.0025
51,橙,96,14,0.1458,110,0.0162,0.0027
52,八坂神奈子,93,16,0.172,109,0.0157,0.0031
53,冈崎梦美,92,10,0.1087,102,0.0156,0.0019
54,神绮,89,10,0.1124,99,0.0151,0.0019
55,因幡帝,88,16,0.1818,104,0.0149,0.0031
56,永江衣玖,87,15,0.1724,102,0.0147,0.0029
57,森近霖之助,85,6,0.0706,91,0.0144,0.0012
58,米斯蒂娅·萝蕾拉,78,10,0.1282,88,0.0132,0.0019
59,赤蛮奇,75,5,0.0667,80,0.0127,0.001
60,大妖精,70,8,0.1143,78,0.0118,0.0016
61,星熊勇仪,69,10,0.1449,79,0.0117,0.0019
62,苏我屠自古,62,11,0.1774,73,0.0105,0.0021
62,魅魔,62,8,0.129,70,0.0105,0.0016
64,小恶魔,61,8,0.1311,69,0.0103,0.0016
65,村纱水蜜,60,4,0.0667,64,0.0102,0.0008
66,冴月麟,58,12,0.2069,70,0.0098,0.0023
67,梅蒂欣·梅兰可莉,56,11,0.1964,67,0.0095,0.0021
68,今泉影狼,54,2,0.037,56,0.0091,0.0004
69,姬海棠果,51,5,0.098,56,0.0086,0.001
70,九十九弁弁,45,2,0.0444,47,0.0076,0.0004
71,人形（含上海人形、哥利亚人形）,41,1,0.0244,42,0.0069,0.0002
72,毛玉,40,4,0.1,44,0.0068,0.0008
73,若鹭姬,39,4,0.1026,43,0.0066,0.0008
73,宫古芳香,39,1,0.0256,40,0.0066,0.0002
75,秋静叶,37,3,0.0811,40,0.0063,0.0006
75,本居小铃,37,1,0.027,38,0.0063,0.0002
77,莉格露·奈特巴格,34,5,0.1471,39,0.0058,0.001
78,莉莉白,32,2,0.0625,34,0.0054,0.0004
79,寅丸星,31,5,0.1613,36,0.0052,0.001
79,秋穰子,31,4,0.129,35,0.0052,0.0008
81,斯塔萨菲雅,27,1,0.037,28,0.0046,0.0002
82,露娜萨·普莉兹姆利巴,25,5,0.2,30,0.0042,0.001
83,蕾迪·霍瓦特洛克,22,2,0.0909,24,0.0037,0.0004
84,娜兹玲,21,4,0.1905,25,0.0036,0.0008
85,桑尼米尔克,20,4,0.2,24,0.0034,0.0008
86,露娜切尔德,19,4,0.2105,23,0.0032,0.0008
86,魂魄妖忌,19,1,0.0526,20,0.0032,0.0002
88,黑谷山女,17,1,0.0588,18,0.0029,0.0002
88,九十九八桥,17,1,0.0588,18,0.0029,0.0002
90,绵月依姬,16,4,0.25,20,0.0027,0.0008
90,幻月,16,1,0.0625,17,0.0027,0.0002
92,莉莉卡·普莉兹姆利巴,14,1,0.0714,15,0.0024,0.0002
93,琪斯美,13,3,0.2308,16,0.0022,0.0006
94,绵月丰姬,12,3,0.25,15,0.002,0.0006
94,爱莲,12,1,0.0833,13,0.002,0.0002
94,北白河千百合,12,0,0.0,12,0.002,0.0
97,阴阳玉,11,1,0.0909,12,0.0019,0.0002
97,梅露兰·普莉兹姆利巴,11,0,0.0,11,0.0019,0.0
99,明罗,10,1,0.1,11,0.0017,0.0002
99,萨丽爱尔,10,0,0.0,10,0.0017,0.0
99,胡桃,10,0,0.0,10,0.0017,0.0
102,云居一轮,9,1,0.1111,10,0.0015,0.0002
102,幽谷响子,9,0,0.0,9,0.0015,0.0
104,卡娜·安娜贝拉尔,8,2,0.25,10,0.0014,0.0004
105,艾丽,7,1,0.1429,8,0.0012,0.0002
106,依莉斯,6,0,0.0,6,0.001,0.0
106,妖精（含持花妖精，僵尸妖精）,6,0,0.0,6,0.001,0.0
106,求闻史纪中的受访人群,6,0,0.0,6,0.001,0.0
109,龙神,5,2,0.4,7,0.0008,0.0004
109,无名的读书妖怪（朱鹭子）,5,1,0.2,6,0.0008,0.0002
109,云山,5,0,0.0,5,0.0008,0.0
109,大鲶鱼,5,0,0.0,5,0.0008,0.0
109,舞,5,0,0.0,5,0.0008,0.0
114,玄爷,4,2,0.5,6,0.0007,0.0004
114,蕾拉·普莉兹姆利巴,4,0,0.0,4,0.0007,0.0
114,里香,4,0,0.0,4,0.0007,0.0
117,非想天则,3,1,0.3333,4,0.0005,0.0002
117,梦子,3,1,0.3333,4,0.0005,0.0002
117,Reisen,3,0,0.0,3,0.0005,0.0
117,幽灵,3,0,0.0,3,0.0005,0.0
121,木花咲耶姬,2,1,0.5,3,0.0003,0.0002
121,UFO,2,1,0.5,3,0.0003,0.0002
121,矜羯罗,2,0,0.0,2,0.0003,0.0
121,幽玄魔眼,2,0,0.0,2,0.0003,0.0
121,小兔姬,2,0,0.0,2,0.0003,0.0
121,朝仓理香子,2,0,0.0,2,0.0003,0.0
121,梦月,2,0,0.0,2,0.0003,0.0
121,雪,2,0,0.0,2,0.0003,0.0
121,月夜见,2,0,0.0,2,0.0003,0.0
130,久米 / 竿打,1,1,1.0,2,0.0002,0.0002
130,命莲,1,0,0.0,1,0.0002,0.0
130,神玉,1,0,0.0,1,0.0002,0.0
130,菊理,1,0,0.0,1,0.0002,0.0
130,咪咪号,1,0,0.0,1,0.0002,0.0
130,留琴,1,0,0.0,1,0.0002,0.0
130,玛○奇,1,0,0.0,1,0.0002,0.0
130,奥莲姬,1,0,0.0,1,0.0002,0.0
130,露易兹,1,0,0.0,1,0.0002,0.0
130,水鬼鬼神长,1,0,0.0,1,0.0002,0.0
130,邪龙,1,0,0.0,1,0.0002,0.0
141,Flower～战车,0,0,0.0,0,0.0,0.0
141,邪眼西格玛,0,0,0.0,0,0.0,0.0
141,萨拉,0,0,0.0,0,0.0,0.0
141,石长姬,0,0,0.0,0,0.0,0.0
141,天照大御神 / 石凝姥命 / 天宇受卖命 / 伊豆能卖,0,0,0.0,0,0.0,0.0
141,岩笠,0,0,0.0,0,0.0,0.0
141,瑞江浦岛子,0,0,0.0,0,0.0,0.0
141,野槌,0,0,0.0,0,0.0,0.0
141,雷兽,0,0,0.0,0,0.0,0.0
141,运松翁,0,0,0.0,0,0.0,0.0
141,烟烟罗,0,0,0.0,0,0.0,0.0
141,卓柏卡布拉,0,0,0.0,0,0.0,0.0
