名次,角色名,票数,本命数,本命率,本命加权,票数占比,本命占比
145,占卜师（易者）,2,0,0.0,2,0.0003,0.0
145,狸猫,2,0,0.0,2,0.0003,0.0
145,座敷童子,2,0,0.0,2,0.0003,0.0
154,运松翁,1,1,1.0,2,0.0002,0.0002
154,八尺大人,1,0,0.0,1,0.0002,0.0
154,彭祖,1,0,0.0,1,0.0002,0.0
154,幽玄魔眼,1,0,0.0,1,0.0002,0.0
154,留琴,1,0,0.0,1,0.0002,0.0
154,玛○奇,1,0,0.0,1,0.0002,0.0
154,苏格拉底,1,0,0.0,1,0.0002,0.0
154,萨拉,1,0,0.0,1,0.0002,0.0
154,露易兹,1,0,0.0,1,0.0002,0.0
154,天照大御神,1,0,0.0,1,0.0002,0.0
154,天宇受卖命,1,0,0.0,1,0.0002,0.0
154,瑞江浦岛子,1,0,0.0,1,0.0002,0.0
154,野槌,1,0,0.0,1,0.0002,0.0
154,酒虫,1,0,0.0,1,0.0002,0.0
154,久米 / 竿打,1,0,0.0,1,0.0002,0.0
154,管狐,1,0,0.0,1,0.0002,0.0
154,万岁乐,1,0,0.0,1,0.0002,0.0
154,邪龙,1,0,0.0,1,0.0002,0.0
154,野铁炮,1,0,0.0,1,0.0002,0.0
173,尼西号,0,0,0.0,0,0.0,0.0
173,Flower～战车,0,0,0.0,0,0.0,0.0
173,邪眼西格玛,0,0,0.0,0,0.0,0.0
173,石长姬,0,0,0.0,0,0.0,0.0
173,石凝老命,0,0,0.0,0,0.0,0.0
173,伊豆能卖,0,0,0.0,0,0.0,0.0
173,火雷神,0,0,0.0,0,0.0,0.0
173,前鬼 / 后鬼,0,0,0.0,0,0.0,0.0
173,水鬼鬼神长,0,0,0.0,0,0.0,0.0
173,人面犬,0,0,0.0,0,0.0,0.0
173,烟烟罗,0,0,0.0,0,0.0,0.0
173,卓柏卡布拉,0,0,0.0,0,0.0,0.0
173,沓颊,0,0,0.0,0,0.0,0.0
173,怨灵少女,0,0,0.0,0,0.0,0.0
173,佑天上人,0,0,0.0,0,0.0,0.0
173,白仙和尚,0,0,0.0,0,0.0,0.0
173,怨灵,0,0,0.0,0,0.0,0.0
173,幽灵,0,0,0.0,0,0.0,0.0
173,大地精,0,0,0.0,0,0.0,0.0
