名次,角色名,票数,本命数,本命率,本命加权,票数占比,本命占比
1,博丽灵梦,2290,543,0.2371,2833,0.3889,0.0966
2,雾雨魔理沙,1583,307,0.1939,1890,0.268899999999999,0.0546
3,古明地恋,1358,270,0.1988,1628,0.2306,0.048
4,十六夜咲夜,1332,243,0.1824,1575,0.2262,0.0432
5,八云紫,1312,217,0.1654,1529,0.2228,0.0386
6,西行寺幽幽子,1307,323,0.2471,1630,0.222,0.0575
7,蕾米莉亚·斯卡蕾特,1217,227,0.1865,1444,0.206699999999999,0.0404
8,古明地觉,1152,165,0.1432,1317,0.1957,0.0294
9,藤原妹红,1125,193,0.1716,1318,0.1911,0.0342999999999999
10,芙兰朵露·斯卡蕾特,1089,242,0.2222,1331,0.185,0.0431
11,爱丽丝·玛格特洛依德,1031,195,0.1891,1226,0.1751,0.0347
12,射命丸文,969,164,0.1692,1133,0.1646,0.0292
13,东风谷早苗,947,151,0.1595,1098,0.1608,0.0269
14,秦心,936,83,0.0887,1019,0.159,0.0148
15,魂魄妖梦,884,133,0.1505,1017,0.1501,0.0237
16,蓬莱山辉夜,858,143,0.1667,1001,0.1457,0.0254
17,帕秋莉·诺蕾姬,777,138,0.1776,915,0.132,0.0246
18,琪露诺,752,128,0.1702,880,0.1277,0.0228
19,铃仙·优昙华院·因幡,745,85,0.1141,830,0.1265,0.0151
20,风见幽香,674,112,0.1662,786,0.1145,0.0199
21,比那名居天子,670,100,0.1493,770,0.113799999999999,0.0178
22,克劳恩皮丝,653,22,0.0337,675,0.1109,0.00389999999999999
23,伊吹萃香,575,66,0.1148,641,0.0977,0.0117
24,鬼人正邪,573,78,0.1361,651,0.0973,0.0139
25,稀神探女,497,20,0.0402,517,0.0844,0.0036
26,四季映姬·亚玛萨那度,465,63,0.1355,528,0.079,0.0111999999999999
27,红美铃,450,64,0.1422,514,0.0764,0.0114
28,圣白莲,449,42,0.0935,491,0.0763,0.0075
29,键山雏,421,71,0.1686,492,0.0714999999999999,0.0126
29,洩矢诹访子,421,48,0.114,469,0.0714999999999999,0.0085
31,宇佐见莲子,407,54,0.1327,461,0.0690999999999999,0.0096
32,上白泽慧音,405,26,0.0642,431,0.0688,0.00459999999999999
33,丰聪耳神子,384,59,0.1536,443,0.0652,0.0105
34,少名针妙丸,383,19,0.0496,402,0.065,0.00339999999999999
35,八意永琳,344,46,0.1337,390,0.0584,0.0082
36,纯狐,327,21,0.0642,348,0.0555,0.0037
37,多多良小伞,308,26,0.0844,334,0.0522999999999999,0.00459999999999999
38,物部布都,283,43,0.1519,326,0.0481,0.0077
39,玛艾露贝莉·赫恩,278,12,0.0432,290,0.0472,0.0021
40,灵乌路空,269,47,0.1747,316,0.0456999999999999,0.0084
41,封兽鵺,262,23,0.0878,285,0.0445,0.0041
42,水桥帕露西,252,31,0.123,283,0.0427999999999999,0.00549999999999999
43,八云蓝,245,30,0.1224,275,0.0416,0.0053
44,露米娅,241,21,0.0871,262,0.0409,0.0037
45,哆来咪·苏伊特,236,9,0.0381,245,0.0401,0.0016
46,稗田阿求,233,21,0.0901,254,0.0396,0.0037
47,霍青娥,231,17,0.0736,248,0.0392,0.003
48,火焰猫燐,207,24,0.1159,231,0.0352,0.0043
49,冈崎梦美,206,26,0.1262,232,0.035,0.00459999999999999
50,犬走椛,201,31,0.1542,232,0.0340999999999999,0.00549999999999999
51,茨木华扇,197,16,0.0812,213,0.0335,0.00279999999999999
52,河城荷取,189,19,0.1005,208,0.0320999999999999,0.00339999999999999
53,神绮,185,13,0.0703,198,0.0313999999999999,0.00229999999999999
54,堀川雷鼓,183,17,0.0929,200,0.0311,0.003
55,赫卡提亚·拉碧斯拉祖利,182,10,0.0549,192,0.0309,0.0018
56,二岩猯藏,181,22,0.1215,203,0.0307,0.00389999999999999
57,宇佐见堇子,179,4,0.0223,183,0.0304,0.000699999999999999
58,八坂神奈子,174,13,0.0747,187,0.0296,0.00229999999999999
59,本居小铃,171,7,0.0409,178,0.029,0.0012
60,森近霖之助,156,14,0.0897,170,0.0265,0.0025
61,因幡帝,138,10,0.0725,148,0.0234,0.0018
62,米斯蒂娅·萝蕾拉,133,18,0.1353,151,0.0226,0.0032
62,小野塚小町,133,8,0.0602,141,0.0226,0.00139999999999999
64,大妖精,127,2,0.0157,129,0.0216,0.0004
65,橙,126,13,0.1032,139,0.0213999999999999,0.00229999999999999
66,星熊勇仪,121,7,0.0579,128,0.0206,0.0012
67,小恶魔,119,8,0.0672,127,0.0202,0.00139999999999999
68,村纱水蜜,115,11,0.0957,126,0.0195,0.002
69,魅魔,113,14,0.1239,127,0.0192,0.0025
70,姬海棠果,105,7,0.0667,112,0.0178,0.0012
71,永江衣玖,103,17,0.165,120,0.0175,0.003
72,今泉影狼,100,3,0.03,103,0.017,0.0005
73,冴月麟,99,15,0.1515,114,0.0168,0.0027
74,赤蛮奇,92,12,0.1304,104,0.0155999999999999,0.0021
75,苏我屠自古,89,8,0.0899,97,0.0151,0.00139999999999999
76,梅蒂欣·梅兰可莉,76,7,0.0921,83,0.0129,0.0012
76,莉莉白,76,6,0.0789,82,0.0129,0.0011
78,幽谷响子,75,7,0.0933,82,0.0127,0.0012
79,秋静叶,70,1,0.0143,71,0.0119,0.0002
80,秋穰子,68,3,0.0441,71,0.0115,0.0005
81,九十九弁弁,61,2,0.0328,63,0.0104,0.0004
82,寅丸星,57,7,0.1228,64,0.0097,0.0012
83,宫古芳香,55,4,0.0727,59,0.00929999999999999,0.000699999999999999
84,若鹭姬,51,4,0.0784,55,0.00869999999999999,0.000699999999999999
85,毛玉,50,2,0.04,52,0.0085,0.0004
86,娜兹玲,49,5,0.102,54,0.0083,0.0009
87,斯塔萨菲雅,46,3,0.0652,49,0.00779999999999999,0.0005
88,绵月依姬,45,3,0.0667,48,0.0076,0.0005
89,清兰,43,1,0.0233,44,0.0073,0.0002
90,露娜切尔德,40,2,0.05,42,0.00679999999999999,0.0004
91,莉格露·奈特巴格,36,3,0.0833,39,0.0061,0.0005
91,无名的读书妖怪（朱鹭子）,36,2,0.0556,38,0.0061,0.0004
93,蕾蒂·霍瓦特洛克,35,2,0.0571,37,0.0059,0.0004
94,人偶（含上海人偶、哥利亚人偶）,34,3,0.0882,37,0.0058,0.0005
95,卡娜·安娜贝拉尔,33,3,0.0909,36,0.00559999999999999,0.0005
96,绵月丰姬,32,2,0.0625,34,0.0054,0.0004
97,露娜萨·普莉兹姆利巴,31,3,0.0968,34,0.0053,0.0005
97,魂魄妖忌,31,0,0.0,31,0.0053,0.0
99,幻月,30,5,0.1667,35,0.0051,0.0009
99,云居一轮,30,2,0.0667,32,0.0051,0.0004
101,九十九八桥,25,3,0.12,28,0.0042,0.0005
102,萨丽爱尔,23,2,0.087,25,0.00389999999999999,0.0004
102,桑尼米尔克,23,2,0.087,25,0.00389999999999999,0.0004
102,黑谷山女,23,1,0.0435,24,0.00389999999999999,0.0002
105,铃瑚,20,0,0.0,20,0.00339999999999999,0.0
106,爱莲,19,2,0.1053,21,0.0032,0.0004
107,莉莉卡·普莉兹姆利巴,18,0,0.0,18,0.0031,0.0
108,命莲,16,0,0.0,16,0.0027,0.0
109,大鲶鱼,15,2,0.1333,17,0.0025,0.0004
109,矜羯罗,15,2,0.1333,17,0.0025,0.0004
109,梅露兰·普莉兹姆利巴,15,0,0.0,15,0.0025,0.0
112,艾丽,14,0,0.0,14,0.0024,0.0
113,明罗,13,2,0.1538,15,0.0022,0.0004
114,琪斯美,12,1,0.0833,13,0.002,0.0002
114,云山,12,0,0.0,12,0.002,0.0
116,UFO,11,4,0.3636,15,0.0019,0.000699999999999999
116,胡桃,11,1,0.0909,12,0.0019,0.0002
118,朝仓理香子,10,1,0.1,11,0.00169999999999999,0.0002
118,蕾拉·普莉兹姆利巴,10,0,0.0,10,0.00169999999999999,0.0
118,北白河千百合,10,0,0.0,10,0.00169999999999999,0.0
118,梦月,10,0,0.0,10,0.00169999999999999,0.0
118,龙神,10,0,0.0,10,0.00169999999999999,0.0
123,梦子,9,1,0.1111,10,0.0015,0.0002
123,雪,9,0,0.0,9,0.0015,0.0
125,STG作品中没有名称的角色,8,0,0.0,8,0.00139999999999999,0.0
126,非想天则,7,0,0.0,7,0.0012,0.0
126,绿巨人,7,0,0.0,7,0.0012,0.0
126,依莉斯,7,0,0.0,7,0.0012,0.0
126,小兔姬,7,0,0.0,7,0.0012,0.0
126,Reisen,7,0,0.0,7,0.0012,0.0
131,舞,6,1,0.1667,7,0.001,0.0002
131,妖精（含持花妖精，僵尸妖精）,6,1,0.1667,7,0.001,0.0002
131,河童（含山童）,6,1,0.1667,7,0.001,0.0002
131,阴阳玉,6,0,0.0,6,0.001,0.0
135,玄爷,5,0,0.0,5,0.0008,0.0
135,求闻史纪中的受访人群,5,0,0.0,5,0.0008,0.0
137,秦河胜,4,0,0.0,4,0.000699999999999999,0.0
137,阿菊,4,0,0.0,4,0.000699999999999999,0.0
139,黄帝,3,0,0.0,3,0.0005,0.0
139,里香,3,0,0.0,3,0.0005,0.0
139,咪咪号,3,0,0.0,3,0.0005,0.0
139,奥莲姬,3,0,0.0,3,0.0005,0.0
139,岩笠,3,0,0.0,3,0.0005,0.0
139,读书狐狸,3,0,0.0,3,0.0005,0.0
145,神玉,2,0,0.0,2,0.0003,0.0
145,菊理,2,0,0.0,2,0.0003,0.0
145,月夜见,2,0,0.0,2,0.0003,0.0
145,木花咲耶姬,2,0,0.0,2,0.0003,0.0
145,雷兽（务光）,2,0,0.0,2,0.0003,0.0
145,稻荷大人,2,0,0.0,2,0.0003,0.0
