名次,角色名,票数,本命数,本命率,本命加权,票数占比,本命占比,男性数,男性比例,女性数,女性比例
60,小野塚小町,159,13,0.0818,172,0.0218,0.0019,123,0.7736,36,0.2264
61,因幡帝,155,16,0.1032,171,0.0212,0.0023,121,0.7806,34,0.2194
62,米斯蒂娅·萝蕾拉,153,25,0.1634,178,0.021,0.0036,127,0.8301,26,0.1699
62,堀川雷鼓,153,14,0.0915,167,0.021,0.002,90,0.5882,63,0.4118
64,橙,151,14,0.0927,165,0.0207,0.002,124,0.8212,27,0.1788
65,赫卡提亚·拉碧斯拉祖利,150,6,0.04,156,0.0206,0.0009,95,0.6333,55,0.3667
66,二岩猯藏,139,11,0.0791,150,0.0191,0.0016,84,0.6043,55,0.3957
67,八坂神奈子,135,14,0.1037,149,0.0185,0.002,94,0.6963,41,0.3037
68,冴月麟,129,12,0.093,141,0.0177,0.0017,102,0.7907,27,0.2093
69,星熊勇仪,122,16,0.1311,138,0.0167,0.0023,91,0.7459,31,0.2541
70,魅魔,113,8,0.0708,121,0.0155,0.0011,85,0.7522,28,0.2478
71,村纱水蜜,112,13,0.1161,125,0.0154,0.0019,66,0.5893,46,0.4107
72,赤蛮奇,109,10,0.0917,119,0.0149,0.0014,72,0.6606,37,0.3394
73,姬海棠果,108,10,0.0926,118,0.0148,0.0014,74,0.6852,34,0.3148
74,莉莉白,100,11,0.11,111,0.0137,0.0016,84,0.84,16,0.16
75,今泉影狼,96,8,0.0833,104,0.0132,0.0011,83,0.8646,13,0.1354
76,苏我屠自古,86,7,0.0814,93,0.0118,0.001,43,0.5,43,0.5
77,占卜师（易者）,83,5,0.0602,88,0.0114,0.0007,68,0.8193,15,0.1807
78,绵月依姬,78,14,0.1795,92,0.0107,0.002,65,0.8333,13,0.1667
79,秋静叶,77,6,0.0779,83,0.0106,0.0009,64,0.8312,13,0.1688
80,长相酷似周杰伦的参拜客,74,2,0.027,76,0.0101,0.0003,60,0.8108,14,0.1892
81,梅蒂欣·梅兰可莉,69,6,0.087,75,0.0095,0.0009,48,0.6957,21,0.3043
82,蕾蒂·霍瓦特洛克,62,4,0.0645,66,0.0085,0.0006,42,0.6774,20,0.3226
83,秋穰子,61,3,0.0492,64,0.0084,0.0004,50,0.8197,11,0.1803
83,幽谷响子,61,1,0.0164,62,0.0084,0.0001,46,0.7541,15,0.2459
85,宫古芳香,59,5,0.0847,64,0.0081,0.0007,35,0.5932,24,0.4068
85,娜兹玲,59,4,0.0678,63,0.0081,0.0006,43,0.7288,16,0.2712
87,毛玉,58,3,0.0517,61,0.0079,0.0004,51,0.8793,7,0.1207
88,九十九弁弁,57,4,0.0702,61,0.0078,0.0006,33,0.5789,24,0.4211
88,露娜切尔德,57,4,0.0702,61,0.0078,0.0006,54,0.9474,3,0.0526
90,斯塔萨菲雅,52,6,0.1154,58,0.0071,0.0009,47,0.9038,5,0.0962
91,清兰,49,3,0.0612,52,0.0067,0.0004,32,0.6531,17,0.3469
92,人偶（含上海人偶、哥利亚人偶）,48,7,0.1458,55,0.0066,0.001,44,0.9167,4,0.0833
93,幻月,43,7,0.1628,50,0.0059,0.001,27,0.6279,16,0.3721
94,莉格露·奈特巴格,42,5,0.119,47,0.0058,0.0007,26,0.619,16,0.381
94,露娜萨·普莉兹姆利巴,42,2,0.0476,44,0.0058,0.0003,35,0.8333,7,0.1667
96,云居一轮,41,5,0.122,46,0.0056,0.0007,19,0.4634,22,0.5366
96,若鹭姬,41,5,0.122,46,0.0056,0.0007,29,0.7073,12,0.2927
96,寅丸星,41,4,0.0976,45,0.0056,0.0006,22,0.5366,19,0.4634
99,卡娜·安娜贝拉尔,39,4,0.1026,43,0.0053,0.0006,26,0.6667,13,0.3333
99,铃瑚,39,1,0.0256,40,0.0053,0.0001,28,0.7179,11,0.2821
99,魂魄妖忌,39,0,0.0,39,0.0053,0.0,36,0.9231,3,0.0769
102,无名的读书妖怪（朱鹭子）,37,2,0.0541,39,0.0051,0.0003,32,0.8649,5,0.1351
102,绵月丰姬,37,0,0.0,37,0.0051,0.0,25,0.6757,12,0.3243
104,桑尼米尔克,36,3,0.0833,39,0.0049,0.0004,33,0.9167,3,0.0833
105,九十九八桥,28,1,0.0357,29,0.0038,0.0001,19,0.6786,9,0.3214
106,梅露兰·普莉兹姆利巴,24,1,0.0417,25,0.0033,0.0001,16,0.6667,8,0.3333
107,莉莉卡·普莉兹姆利巴,22,2,0.0909,24,0.003,0.0003,15,0.6818,7,0.3182
108,萨丽爱尔,20,3,0.15,23,0.0027,0.0004,11,0.55,9,0.45
108,爱莲,20,2,0.1,22,0.0027,0.0003,8,0.4,12,0.6
110,蕾拉·普莉兹姆利巴,19,1,0.0526,20,0.0026,0.0001,17,0.8947,2,0.1053
111,艾丽,17,1,0.0588,18,0.0023,0.0001,10,0.5882,7,0.4118
111,命莲,17,0,0.0,17,0.0023,0.0,16,0.9412,1,0.0588
111,玄爷,17,0,0.0,17,0.0023,0.0,15,0.8824,2,0.1176
114,胡桃,16,2,0.125,18,0.0022,0.0003,12,0.75,4,0.25
115,龙神,15,0,0.0,15,0.0021,0.0,13,0.8667,2,0.1333
116,黑谷山女,14,3,0.2143,17,0.0019,0.0004,11,0.7857,3,0.2143
116,琪斯美,14,2,0.1429,16,0.0019,0.0003,11,0.7857,3,0.2143
116,大鲶鱼,14,2,0.1429,16,0.0019,0.0003,11,0.7857,3,0.2143
119,矜羯罗,12,2,0.1667,14,0.0016,0.0003,5,0.4167,7,0.5833
119,云山,12,1,0.0833,13,0.0016,0.0001,8,0.6667,4,0.3333
119,梦子,12,1,0.0833,13,0.0016,0.0001,6,0.5,6,0.5
119,北白河千百合,12,0,0.0,12,0.0016,0.0,6,0.5,6,0.5
119,梦月,12,0,0.0,12,0.0016,0.0,6,0.5,6,0.5
124,里香,11,0,0.0,11,0.0015,0.0,8,0.7273,3,0.2727
124,小兔姬,11,0,0.0,11,0.0015,0.0,7,0.6364,4,0.3636
126,非想天则,10,1,0.1,11,0.0014,0.0001,10,1.0,0,0.0
126,妖精（含持花妖精，僵尸妖精）,10,1,0.1,11,0.0014,0.0001,9,0.9,1,0.1
126,Reisen,10,0,0.0,10,0.0014,0.0,8,0.8,2,0.2
129,朝仓理香子,9,1,0.1111,10,0.0012,0.0001,3,0.3333,6,0.6667
129,岩笠,9,1,0.1111,10,0.0012,0.0001,9,1.0,0,0.0
129,明罗,9,0,0.0,9,0.0012,0.0,3,0.3333,6,0.6667
132,依莉斯,8,0,0.0,8,0.0011,0.0,3,0.375,5,0.625
133,露易兹,7,1,0.1429,8,0.001,0.0001,4,0.5714,3,0.4286
133,UFO,7,1,0.1429,8,0.001,0.0001,7,1.0,0,0.0
133,舞,7,0,0.0,7,0.001,0.0,4,0.5714,3,0.4286
133,求闻史纪中的受访人群,7,0,0.0,7,0.001,0.0,6,0.8571,1,0.1429
133,STG作品中没有名称的角色,7,0,0.0,7,0.001,0.0,6,0.8571,1,0.1429
138,咪咪号,6,1,0.1667,7,0.0008,0.0001,2,0.3333,4,0.6667
138,阴阳玉,6,0,0.0,6,0.0008,0.0,5,0.8333,1,0.1667
140,河童（含山童）,5,1,0.2,6,0.0007,0.0001,5,1.0,0,0.0
140,留琴,5,0,0.0,5,0.0007,0.0,3,0.6,2,0.4
140,座敷童子,5,0,0.0,5,0.0007,0.0,4,0.8,1,0.2
140,酒吧老板,5,0,0.0,5,0.0007,0.0,3,0.6,2,0.4
140,妖怪兔,5,0,0.0,5,0.0007,0.0,3,0.6,2,0.4
145,木花咲耶姬,4,1,0.25,5,0.0005,0.0001,4,1.0,0,0.0
145,尼西号,4,0,0.0,4,0.0005,0.0,3,0.75,1,0.25
145,雪,4,0,0.0,4,0.0005,0.0,4,1.0,0,0.0
145,月夜见,4,0,0.0,4,0.0005,0.0,3,0.75,1,0.25
149,秦河胜,3,0,0.0,3,0.0004,0.0,1,0.3333,2,0.6667
149,绿巨人,3,0,0.0,3,0.0004,0.0,2,0.6667,1,0.3333
149,神玉,3,0,0.0,3,0.0004,0.0,2,0.6667,1,0.3333
149,菊理,3,0,0.0,3,0.0004,0.0,1,0.3333,2,0.6667
149,萨拉,3,0,0.0,3,0.0004,0.0,2,0.6667,1,0.3333
149,管狐,3,0,0.0,3,0.0004,0.0,3,1.0,0,0.0
149,读书狐狸,3,0,0.0,3,0.0004,0.0,2,0.6667,1,0.3333
149,酒吧客人,3,0,0.0,3,0.0004,0.0,2,0.6667,1,0.3333
149,嫦娥,3,0,0.0,3,0.0004,0.0,3,1.0,0,0.0
158,万岁乐,2,1,0.5,3,0.0003,0.0001,2,1.0,0,0.0
158,八尺大人,2,0,0.0,2,0.0003,0.0,2,1.0,0,0.0
158,黄帝,2,0,0.0,2,0.0003,0.0,2,1.0,0,0.0
158,邪眼西格玛,2,0,0.0,2,0.0003,0.0,1,0.5,1,0.5
158,苏格拉底,2,0,0.0,2,0.0003,0.0,1,0.5,1,0.5
158,前鬼 / 后鬼,2,0,0.0,2,0.0003,0.0,2,1.0,0,0.0
158,邪龙,2,0,0.0,2,0.0003,0.0,1,0.5,1,0.5
158,怨灵少女,2,0,0.0,2,0.0003,0.0,1,0.5,1,0.5
158,狸猫,2,0,0.0,2,0.0003,0.0,1,0.5,1,0.5
167,奥莲姬,1,1,1.0,2,0.0001,0.0001,1,1.0,0,0.0
167,阿菊,1,0,0.0,1,0.0001,0.0,0,0.0,1,1.0
167,玛○奇,1,0,0.0,1,0.0001,0.0,0,0.0,1,1.0
167,天宇受卖命,1,0,0.0,1,0.0001,0.0,1,1.0,0,0.0
167,酒虫,1,0,0.0,1,0.0001,0.0,1,1.0,0,0.0
167,雷兽（务光）,1,0,0.0,1,0.0001,0.0,0,0.0,1,1.0
167,久米 / 竿打,1,0,0.0,1,0.0001,0.0,1,1.0,0,0.0
167,卓柏卡布拉,1,0,0.0,1,0.0001,0.0,1,1.0,0,0.0
167,沓颊,1,0,0.0,1,0.0001,0.0,0,0.0,1,1.0
167,稻荷大人,1,0,0.0,1,0.0001,0.0,1,1.0,0,0.0
167,幽灵,1,0,0.0,1,0.0001,0.0,1,1.0,0,0.0
178,彭祖,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
178,幽玄魔眼,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
178,Flower～战车,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
178,石长姬,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
178,天照大御神,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
178,石凝老命,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
178,伊豆能卖,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
178,火雷神,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
178,瑞江浦岛子,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
178,野槌,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
178,运松翁,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
178,水鬼鬼神长,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
178,人面犬,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
178,烟烟罗,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
178,佑天上人,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
178,白仙和尚,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
178,怨灵,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
178,野铁炮,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
178,地精,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
178,盐家老板,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
178,马凭,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
178,竹扫帚付丧神,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
178,大老爷,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
178,杀死大老爷的侍童,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
178,兜风四人组,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
178,导航,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
