名次,角色名,票数,本命数,本命率,本命加权,票数占比,本命占比,男性数,男性比例,女性数,女性比例
1,博丽灵梦,2855,660,0.2312,3515,0.3913,0.0942,2361,0.827,489,0.1713
2,雾雨魔理沙,1984,345,0.1739,2329,0.2719,0.0492,1567,0.7898,417,0.2102
3,十六夜咲夜,1710,354,0.207,2064,0.2344,0.0505,1398,0.8175,312,0.1825
4,蕾米莉亚·斯卡蕾特,1563,285,0.1823,1848,0.2142,0.0407,1293,0.8273,267,0.1708
5,西行寺幽幽子,1524,369,0.2421,1893,0.2089,0.0526,1256,0.8241,267,0.1752
6,八云紫,1500,238,0.1587,1738,0.2056,0.034,1228,0.8187,271,0.1807
7,古明地恋,1409,303,0.215,1712,0.1931,0.0432,1153,0.8183,256,0.1817
8,芙兰朵露·斯卡蕾特,1321,280,0.212,1601,0.1811,0.0399,1077,0.8153,243,0.184
9,藤原妹红,1213,241,0.1987,1454,0.1663,0.0344,933,0.7692,277,0.2284
10,爱丽丝·玛格特洛依德,1207,235,0.1947,1442,0.1654,0.0335,971,0.8045,236,0.1955
11,古明地觉,1186,214,0.1804,1400,0.1626,0.0305,1021,0.8609,165,0.1391
12,魂魄妖梦,1137,223,0.1961,1360,0.1558,0.0318,1002,0.8813,134,0.1179
13,射命丸文,1132,226,0.1996,1358,0.1552,0.0322,961,0.8489,171,0.1511
14,琪露诺,1104,177,0.1603,1281,0.1513,0.0252,973,0.8813,129,0.1168
15,东风谷早苗,1052,168,0.1597,1220,0.1442,0.024,896,0.8517,156,0.1483
16,铃仙·优昙华院·因幡,936,136,0.1453,1072,0.1283,0.0194,809,0.8643,126,0.1346
17,帕秋莉·诺蕾姬,933,166,0.1779,1099,0.1279,0.0237,765,0.8199,167,0.179
18,蓬莱山辉夜,910,150,0.1648,1060,0.1247,0.0214,738,0.811,172,0.189
19,秦心,905,104,0.1149,1009,0.124,0.0148,782,0.8641,122,0.1348
20,比那名居天子,799,136,0.1702,935,0.1095,0.0194,699,0.8748,99,0.1239
21,稀神探女,766,48,0.0627,814,0.105,0.0068,591,0.7715,175,0.2285
22,风见幽香,754,133,0.1764,887,0.1033,0.019,603,0.7997,151,0.2003
23,伊吹萃香,670,100,0.1493,770,0.0918,0.0143,592,0.8836,77,0.1149
24,洩矢诹访子,621,75,0.1208,696,0.0851,0.0107,513,0.8261,107,0.1723
25,鬼人正邪,605,96,0.1587,701,0.0829,0.0137,450,0.7438,155,0.2562
26,四季映姬·亚玛萨那度,601,97,0.1614,698,0.0824,0.0138,483,0.8037,118,0.1963
27,红美铃,596,80,0.1342,676,0.0817,0.0114,465,0.7802,129,0.2164
28,宇佐见莲子,535,64,0.1196,599,0.0733,0.0091,398,0.7439,137,0.2561
29,克劳恩皮丝,476,27,0.0567,503,0.0652,0.0039,414,0.8697,62,0.1303
30,圣白莲,475,43,0.0905,518,0.0651,0.0061,380,0.8,95,0.2
31,键山雏,470,88,0.1872,558,0.0644,0.0126,386,0.8213,84,0.1787
32,纯狐,424,44,0.1038,468,0.0581,0.0063,299,0.7052,125,0.2948
33,露米娅,423,45,0.1064,468,0.058,0.0064,367,0.8676,56,0.1324
34,八意永琳,404,45,0.1114,449,0.0554,0.0064,298,0.7376,106,0.2624
35,丰聪耳神子,385,75,0.1948,460,0.0528,0.0107,251,0.6519,134,0.3481
36,上白泽慧音,382,32,0.0838,414,0.0524,0.0046,274,0.7173,108,0.2827
37,玛艾露贝莉·赫恩（梅莉）,375,25,0.0667,400,0.0514,0.0036,281,0.7493,94,0.2507
38,少名针妙丸,352,30,0.0852,382,0.0482,0.0043,275,0.7813,77,0.2188
39,多多良小伞,347,38,0.1095,385,0.0476,0.0054,299,0.8617,48,0.1383
40,稗田阿求,307,26,0.0847,333,0.0421,0.0037,247,0.8046,60,0.1954
41,灵乌路空,290,46,0.1586,336,0.0397,0.0066,235,0.8103,55,0.1897
42,水桥帕露西,274,39,0.1423,313,0.0376,0.0056,193,0.7044,81,0.2956
43,封兽鵺,260,20,0.0769,280,0.0356,0.0029,192,0.7385,68,0.2615
44,犬走椛,247,39,0.1579,286,0.0339,0.0056,213,0.8623,34,0.1377
45,物部布都,242,28,0.1157,270,0.0332,0.004,133,0.5496,109,0.4504
46,霍青娥,236,16,0.0678,252,0.0323,0.0023,158,0.6695,78,0.3305
47,茨木华扇,231,30,0.1299,261,0.0317,0.0043,208,0.9004,22,0.0952
48,八云蓝,228,28,0.1228,256,0.0313,0.004,197,0.864,31,0.136
49,神绮,215,15,0.0698,230,0.0295,0.0021,172,0.8,43,0.2
50,大妖精,212,9,0.0425,221,0.0291,0.0013,190,0.8962,21,0.0991
51,森近霖之助,206,11,0.0534,217,0.0282,0.0016,182,0.8835,24,0.1165
52,冈崎梦美,204,24,0.1176,228,0.028,0.0034,148,0.7255,56,0.2745
53,宇佐见堇子,201,10,0.0498,211,0.0275,0.0014,132,0.6567,69,0.3433
54,火焰猫燐,196,17,0.0867,213,0.0269,0.0024,160,0.8163,36,0.1837
55,河城荷取,192,23,0.1198,215,0.0263,0.0033,148,0.7708,44,0.2292
56,永江衣玖,188,26,0.1383,214,0.0258,0.0037,153,0.8138,35,0.1862
57,本居小铃,187,15,0.0802,202,0.0256,0.0021,152,0.8128,35,0.1872
58,小恶魔,177,22,0.1243,199,0.0243,0.0031,151,0.8531,26,0.1469
58,哆来咪·苏伊特,177,13,0.0734,190,0.0243,0.0019,121,0.6836,56,0.3164
