名次,角色名,票数,本命数,本命率,本命加权,票数占比,本命占比,男性数,男性比例,女性数,女性比例
70,小野塚小町,134,11,0.0821,145,0.0198,0.0017,101,0.7537,33,0.2463
71,永江衣玖,129,15,0.1163,144,0.0191,0.0023,106,0.8217,23,0.1783
72,冴月麟,126,13,0.1032,139,0.0186,0.002,99,0.7857,27,0.2143
72,橙,126,7,0.0556,133,0.0186,0.0011,112,0.8889,14,0.1111
74,村纱水蜜,123,11,0.0894,134,0.0182,0.0017,70,0.5691,53,0.4309
75,高丽野阿吽,120,5,0.0417,125,0.0177,0.0008,103,0.8583,17,0.1417
76,矢田寺成美,119,8,0.0672,127,0.0176,0.0012,87,0.7311,31,0.2605
77,露娜切尔德,109,4,0.0367,113,0.0161,0.0006,104,0.9541,5,0.0459
78,赤蛮奇,107,16,0.1495,123,0.0158,0.0024,82,0.7664,25,0.2336
79,占卜师（易者）,105,4,0.0381,109,0.0155,0.0006,93,0.8857,12,0.1143
80,今泉影狼,102,11,0.1078,113,0.0151,0.0017,94,0.9216,8,0.0784
81,星熊勇仪,98,8,0.0816,106,0.0145,0.0012,79,0.8061,19,0.1939
81,姬海棠果,98,6,0.0612,104,0.0145,0.0009,81,0.8265,17,0.1735
83,爱塔妮缇拉尔瓦,97,5,0.0515,102,0.0143,0.0008,78,0.8041,19,0.1959
84,斯塔萨菲雅,96,6,0.0625,102,0.0142,0.0009,88,0.9167,8,0.0833
85,秋静叶,89,9,0.1011,98,0.0131,0.0014,74,0.8315,15,0.1685
86,九十九弁弁,84,6,0.0714,90,0.0124,0.0009,63,0.75,21,0.25
87,梅蒂欣·梅兰可莉,82,11,0.1341,93,0.0121,0.0017,60,0.7317,22,0.2683
87,苏我屠自古,82,10,0.122,92,0.0121,0.0015,39,0.4756,43,0.5244
89,幽谷响子,76,7,0.0921,83,0.0112,0.0011,67,0.8816,9,0.1184
90,桑尼米尔克,75,10,0.1333,85,0.0111,0.0015,71,0.9467,4,0.0533
91,若鹭姬,71,9,0.1268,80,0.0105,0.0014,55,0.7746,16,0.2254
92,秋穰子,70,7,0.1,77,0.0103,0.0011,60,0.8571,10,0.1429
93,娜兹玲,69,5,0.0725,74,0.0102,0.0008,58,0.8406,11,0.1594
94,丁礼田舞,64,3,0.0469,67,0.0095,0.0005,40,0.625,24,0.375
95,宫古芳香,61,6,0.0984,67,0.009,0.0009,37,0.6066,24,0.3934
95,绵月依姬,61,2,0.0328,63,0.009,0.0003,46,0.7541,15,0.2459
97,幻月,57,9,0.1579,66,0.0084,0.0014,43,0.7544,14,0.2456
98,蕾蒂·霍瓦特洛克,56,8,0.1429,64,0.0083,0.0012,47,0.8393,9,0.1607
98,尔子田里乃,56,3,0.0536,59,0.0083,0.0005,37,0.6607,19,0.3393
100,人偶（含上海人偶、哥利亚人偶）,51,4,0.0784,55,0.0075,0.0006,44,0.8627,7,0.1373
101,露娜萨·普莉兹姆利巴,50,3,0.06,53,0.0074,0.0005,41,0.82,9,0.18
102,莉格露·奈特巴格,45,9,0.2,54,0.0066,0.0014,27,0.6,18,0.4
102,卡娜·安娜贝拉尔,45,4,0.0889,49,0.0066,0.0006,36,0.8,9,0.2
104,长相酷似周杰伦的参拜客,41,1,0.0244,42,0.0061,0.0002,36,0.878,5,0.122
