名次,角色名,票数,本命数,本命率,本命加权,票数占比,本命占比,男性数,男性比例,女性数,女性比例
1,博丽灵梦,4038,718,0.1778,4756,0.3557,0.0652,3430,0.8494,608,0.1506
2,雾雨魔理沙,3660,696,0.1902,4356,0.3224,0.0632,3084,0.8426,576,0.1574
3,古明地恋,3004,753,0.2507,3757,0.2646,0.0684,2580,0.8589,424,0.1411
4,十六夜咲夜,2529,454,0.1795,2983,0.2228,0.0413,2170,0.858,359,0.142
5,魂魄妖梦,2172,380,0.175,2552,0.1913,0.0345,1986,0.9144,186,0.0856
6,古明地觉,2111,388,0.1838,2499,0.186,0.0353,1841,0.8721,270,0.1279
7,蕾米莉亚·斯卡蕾特,2046,354,0.173,2400,0.1802,0.0322,1787,0.8734,259,0.1266
8,射命丸文,1992,343,0.1722,2335,0.1755,0.0312,1781,0.8941,211,0.1059
9,东风谷早苗,1913,321,0.1678,2234,0.1685,0.0292,1698,0.8876,215,0.1124
10,藤原妹红,1828,308,0.1685,2136,0.161,0.028,1493,0.8167,335,0.1833
11,芙兰朵露·斯卡蕾特,1776,368,0.2072,2144,0.1565,0.0334,1501,0.8452,275,0.1548
12,八云紫,1763,295,0.1673,2058,0.1553,0.0268,1484,0.8417,279,0.1583
13,西行寺幽幽子,1753,387,0.2208,2140,0.1544,0.0352,1488,0.8488,265,0.1512
14,爱丽丝·玛格特洛依德,1657,296,0.1786,1953,0.146,0.0269,1424,0.8594,233,0.1406
15,琪露诺,1590,305,0.1918,1895,0.1401,0.0277,1402,0.8818,188,0.1182
16,铃仙·优昙华院·因幡,1520,223,0.1467,1743,0.1339,0.0203,1366,0.8987,154,0.1013
17,秦心,1464,139,0.0949,1603,0.129,0.0126,1295,0.8846,169,0.1154
18,比那名居天子,1447,276,0.1907,1723,0.1275,0.0251,1300,0.8984,147,0.1016
19,伊吹萃香,1177,159,0.1351,1336,0.1037,0.0144,1059,0.8997,118,0.1003
20,纯狐,1146,125,0.1091,1271,0.101,0.0114,954,0.8325,192,0.1675
21,帕秋莉·诺蕾姬,1141,182,0.1595,1323,0.1005,0.0165,998,0.8747,143,0.1253
22,蓬莱山辉夜,1070,135,0.1262,1205,0.0943,0.0123,897,0.8383,173,0.1617
23,多多良小伞,956,127,0.1328,1083,0.0842,0.0115,894,0.9351,62,0.0649
24,宇佐见莲子,928,98,0.1056,1026,0.0818,0.0089,769,0.8287,159,0.1713
25,风见幽香,909,155,0.1705,1064,0.0801,0.0141,774,0.8515,135,0.1485
26,四季映姬·夜摩仙那度,868,120,0.1382,988,0.0765,0.0109,751,0.8652,117,0.1348
27,红美铃,845,112,0.1325,957,0.0744,0.0102,704,0.8331,141,0.1669
28,键山雏,822,136,0.1655,958,0.0724,0.0124,698,0.8491,124,0.1509
29,依神紫苑,804,100,0.1244,904,0.0708,0.0091,721,0.8968,83,0.1032
30,鬼人正邪,794,141,0.1776,935,0.0699,0.0128,660,0.8312,134,0.1688
31,玛艾露贝莉·赫恩（梅莉）,788,60,0.0761,848,0.0694,0.0055,668,0.8477,120,0.1523
32,摩多罗隐岐奈,780,109,0.1397,889,0.0687,0.0099,609,0.7808,171,0.2192
33,丰聪耳神子,749,123,0.1642,872,0.066,0.0112,548,0.7316,201,0.2684
34,稀神探女,725,95,0.131,820,0.0639,0.0086,591,0.8152,134,0.1848
35,洩矢诹访子,716,96,0.1341,812,0.0631,0.0087,588,0.8212,128,0.1788
36,埴安神袿姬,712,52,0.073,764,0.0627,0.0047,575,0.8076,137,0.1924
37,圣白莲,546,70,0.1282,616,0.0481,0.0064,435,0.7967,111,0.2033
38,露米娅,542,49,0.0904,591,0.0477,0.0045,483,0.8911,59,0.1089
39,茨木华扇,507,70,0.1381,577,0.0447,0.0064,452,0.8915,55,0.1085
40,吉吊八千慧,491,22,0.0448,513,0.0433,0.002,350,0.7128,141,0.2872
41,上白泽慧音,487,52,0.1068,539,0.0429,0.0047,391,0.8029,96,0.1971
42,灵乌路空,468,70,0.1496,538,0.0412,0.0064,407,0.8697,61,0.1303
43,少名针妙丸,446,46,0.1031,492,0.0393,0.0042,385,0.8632,61,0.1368
44,哆来咪·苏伊特,438,60,0.137,498,0.0386,0.0055,354,0.8082,84,0.1918
45,犬走椛,432,44,0.1019,476,0.0381,0.004,398,0.9213,34,0.0787
46,水桥帕露西,427,67,0.1569,494,0.0376,0.0061,327,0.7658,100,0.2342
47,莉莉白,421,37,0.0879,458,0.0371,0.0034,390,0.9264,31,0.0736
48,八意永琳,417,47,0.1127,464,0.0367,0.0043,335,0.8034,82,0.1966
49,火焰猫燐,405,40,0.0988,445,0.0357,0.0036,359,0.8864,46,0.1136
50,稗田阿求,398,40,0.1005,438,0.0351,0.0036,359,0.902,39,0.098
51,森近霖之助,382,60,0.1571,442,0.0337,0.0055,341,0.8927,41,0.1073
52,克劳恩皮丝,355,25,0.0704,380,0.0313,0.0023,315,0.8873,40,0.1127
53,八云蓝,350,36,0.1029,386,0.0308,0.0033,301,0.86,49,0.14
53,奥野田美宵,350,8,0.0229,358,0.0308,0.0007,333,0.9514,17,0.0486
55,本居小铃,345,34,0.0986,379,0.0304,0.0031,305,0.8841,40,0.1159
56,庭渡久侘歌,339,27,0.0796,366,0.0299,0.0025,270,0.7965,69,0.2035
57,河城荷取,336,44,0.131,380,0.0296,0.004,298,0.8869,38,0.1131
58,八坂神奈子,333,29,0.0871,362,0.0293,0.0026,241,0.7237,92,0.2763
59,封兽鵺,332,38,0.1145,370,0.0292,0.0035,279,0.8404,53,0.1596
60,大妖精,328,26,0.0793,354,0.0289,0.0024,308,0.939,20,0.061
61,宇佐见堇子,308,20,0.0649,328,0.0271,0.0018,222,0.7208,86,0.2792
62,霍青娥,304,18,0.0592,322,0.0268,0.0016,205,0.6743,99,0.3257
63,堀川雷鼓,288,31,0.1076,319,0.0254,0.0028,197,0.684,91,0.316
63,神绮,288,21,0.0729,309,0.0254,0.0019,252,0.875,36,0.125
65,冴月麟,281,29,0.1032,310,0.0248,0.0026,226,0.8043,55,0.1957
66,物部布都,278,29,0.1043,307,0.0245,0.0026,179,0.6439,99,0.3561
67,永江衣玖,241,45,0.1867,286,0.0212,0.0041,208,0.8631,33,0.1369
68,因幡天为（因幡帝）,239,31,0.1297,270,0.0211,0.0028,203,0.8494,36,0.1506
68,赫卡提亚·拉碧斯拉祖利,239,20,0.0837,259,0.0211,0.0018,176,0.7364,63,0.2636
70,小恶魔,229,20,0.0873,249,0.0202,0.0018,208,0.9083,21,0.0917
71,冈崎梦美,225,23,0.1022,248,0.0198,0.0021,168,0.7467,57,0.2533
72,魅魔,224,13,0.058,237,0.0197,0.0012,179,0.7991,45,0.2009
73,小野塚小町,219,22,0.1005,241,0.0193,0.002,178,0.8128,41,0.1872
74,二岩猯藏,210,17,0.081,227,0.0185,0.0015,147,0.7,63,0.3
75,米斯蒂娅·萝蕾拉,206,32,0.1553,238,0.0181,0.0029,185,0.8981,21,0.1019
76,橙,185,20,0.1081,205,0.0163,0.0018,168,0.9081,17,0.0919
77,村纱水蜜,182,21,0.1154,203,0.016,0.0019,131,0.7198,51,0.2802
78,赤蛮奇,172,22,0.1279,194,0.0152,0.002,149,0.8663,23,0.1337
79,姬海棠果,163,14,0.0859,177,0.0144,0.0013,128,0.7853,35,0.2147
80,九十九弁弁,159,12,0.0755,171,0.014,0.0011,134,0.8428,25,0.1572
81,占卜师（易者）,154,9,0.0584,163,0.0136,0.0008,144,0.9351,10,0.0649
82,露娜切尔德,153,15,0.098,168,0.0135,0.0014,144,0.9412,9,0.0588
83,今泉影狼,149,12,0.0805,161,0.0131,0.0011,138,0.9262,11,0.0738
84,依神女苑,148,13,0.0878,161,0.013,0.0012,118,0.7973,30,0.2027
85,斯塔萨菲雅,140,7,0.05,147,0.0123,0.0006,130,0.9286,10,0.0714
86,杖刀偶磨弓,137,14,0.1022,151,0.0121,0.0013,93,0.6788,44,0.3212
87,娜兹玲,136,12,0.0882,148,0.012,0.0011,110,0.8088,26,0.1912
87,星熊勇仪,136,11,0.0809,147,0.012,0.001,114,0.8382,22,0.1618
89,幽谷响子,128,10,0.0781,138,0.0113,0.0009,114,0.8906,14,0.1094
90,苏我屠自古,125,15,0.12,140,0.011,0.0014,69,0.552,56,0.448
