名次,角色名,票数,本命数,本命率,本命加权,票数占比,本命占比,男性数,男性比例,女性数,女性比例
22,伊吹萃香,767,96,0.1252,863,0.0943,0.0121,694,0.9048,72,0.0939
23,纯狐,724,78,0.1077,802,0.089,0.0099,579,0.7997,145,0.2003
24,庭渡久侘歌,722,29,0.0402,751,0.0888,0.0037,605,0.838,117,0.162
25,宇佐见莲子,679,80,0.1178,759,0.0835,0.0101,550,0.81,129,0.19
26,风见幽香,671,128,0.1908,799,0.0825,0.0162,565,0.842,106,0.158
27,依神紫苑,659,53,0.0804,712,0.081,0.0067,577,0.8756,82,0.1244
28,红美铃,619,63,0.1018,682,0.0761,0.008,503,0.8126,116,0.1874
29,四季映姬·夜摩仙那度,609,90,0.1478,699,0.0749,0.0114,499,0.8194,110,0.1806
30,洩矢诹访子,604,72,0.1192,676,0.0742,0.0091,506,0.8377,97,0.1606
31,鬼人正邪,595,100,0.1681,695,0.0731,0.0126,463,0.7782,132,0.2218
31,多多良小伞,595,65,0.1092,660,0.0731,0.0082,553,0.9294,42,0.0706
33,玛艾露贝莉·赫恩（梅莉）,586,41,0.07,627,0.072,0.0052,472,0.8055,114,0.1945
34,稀神探女,573,55,0.096,628,0.0704,0.007,442,0.7714,131,0.2286
35,摩多罗隐岐奈,530,48,0.0906,578,0.0652,0.0061,387,0.7302,142,0.2679
36,键山雏,520,96,0.1846,616,0.0639,0.0121,449,0.8635,71,0.1365
37,丰聪耳神子,512,100,0.1953,612,0.0629,0.0126,359,0.7012,152,0.2969
38,吉吊八千慧,506,22,0.0435,528,0.0622,0.0028,375,0.7411,131,0.2589
39,哆来咪·苏伊特,432,42,0.0972,474,0.0531,0.0053,320,0.7407,112,0.2593
40,圣白莲,410,44,0.1073,454,0.0504,0.0056,333,0.8122,77,0.1878
41,少名针妙丸,400,40,0.1,440,0.0492,0.0051,333,0.8325,67,0.1675
42,茨木华扇,393,51,0.1298,444,0.0483,0.0064,357,0.9084,36,0.0916
43,上白泽慧音,376,46,0.1223,422,0.0462,0.0058,264,0.7021,112,0.2979
44,水桥帕露西,358,47,0.1313,405,0.044,0.0059,274,0.7654,84,0.2346
45,露米娅,356,50,0.1404,406,0.0438,0.0063,327,0.9185,29,0.0815
46,克劳恩皮丝,334,23,0.0689,357,0.0411,0.0029,289,0.8653,45,0.1347
47,火焰猫燐,328,39,0.1189,367,0.0403,0.0049,289,0.8811,39,0.1189
48,稗田阿求,324,36,0.1111,360,0.0398,0.0046,279,0.8611,45,0.1389
49,灵乌路空,312,52,0.1667,364,0.0384,0.0066,268,0.859,44,0.141
49,宇佐见堇子,312,32,0.1026,344,0.0384,0.004,227,0.7276,84,0.2692
51,犬走椛,267,37,0.1386,304,0.0328,0.0047,244,0.9139,23,0.0861
52,八意永琳,257,33,0.1284,290,0.0316,0.0042,185,0.7198,72,0.2802
53,河城荷取,255,37,0.1451,292,0.0313,0.0047,215,0.8431,39,0.1529
54,本居小铃,252,20,0.0794,272,0.031,0.0025,229,0.9087,23,0.0913
55,森近霖之助,249,21,0.0843,270,0.0306,0.0027,220,0.8835,29,0.1165
56,封兽鵺,234,26,0.1111,260,0.0288,0.0033,189,0.8077,45,0.1923
57,大妖精,233,15,0.0644,248,0.0286,0.0019,217,0.9313,16,0.0687
58,八云蓝,220,21,0.0955,241,0.027,0.0027,183,0.8318,37,0.1682
58,霍青娥,220,16,0.0727,236,0.027,0.002,147,0.6682,73,0.3318
60,物部布都,217,28,0.129,245,0.0267,0.0035,127,0.5853,90,0.4147
60,赫卡提亚·拉碧斯拉祖利,217,19,0.0876,236,0.0267,0.0024,166,0.765,51,0.235
62,莉莉白,212,23,0.1085,235,0.0261,0.0029,194,0.9151,18,0.0849
63,堀川雷鼓,205,27,0.1317,232,0.0252,0.0034,152,0.7415,53,0.2585
63,冈崎梦美,205,19,0.0927,224,0.0252,0.0024,155,0.7561,49,0.239
65,神绮,196,17,0.0867,213,0.0241,0.0021,172,0.8776,24,0.1224
66,八坂神奈子,189,22,0.1164,211,0.0232,0.0028,137,0.7249,52,0.2751
67,因幡天为（因幡帝）,180,19,0.1056,199,0.0221,0.0024,153,0.85,27,0.15
68,永江衣玖,177,19,0.1073,196,0.0218,0.0024,145,0.8192,32,0.1808
69,依神女苑,171,9,0.0526,180,0.021,0.0011,134,0.7836,37,0.2164
70,小恶魔,169,14,0.0828,183,0.0208,0.0018,155,0.9172,14,0.0828
71,二岩猯藏,162,16,0.0988,178,0.0199,0.002,105,0.6481,57,0.3519
72,米斯蒂娅·萝蕾拉,156,21,0.1346,177,0.0192,0.0027,141,0.9038,15,0.0962
73,骊驹早鬼,153,4,0.0261,157,0.0188,0.0005,103,0.6732,50,0.3268
74,冴月麟,142,14,0.0986,156,0.0175,0.0018,115,0.8099,27,0.1901
74,橙,142,8,0.0563,150,0.0175,0.001,124,0.8732,18,0.1268
76,杖刀偶磨弓,141,7,0.0496,148,0.0173,0.0009,103,0.7305,38,0.2695
77,露娜切尔德,140,6,0.0429,146,0.0172,0.0008,130,0.9286,10,0.0714
78,小野塚小町,139,11,0.0791,150,0.0171,0.0014,108,0.777,31,0.223
79,魅魔,130,11,0.0846,141,0.016,0.0014,104,0.8,26,0.2
80,姬海棠果,125,15,0.12,140,0.0154,0.0019,99,0.792,26,0.208
81,村纱水蜜,120,10,0.0833,130,0.0148,0.0013,82,0.6833,38,0.3167
82,九十九弁弁,118,12,0.1017,130,0.0145,0.0015,94,0.7966,24,0.2034
83,赤蛮奇,116,20,0.1724,136,0.0143,0.0025,89,0.7672,27,0.2328
84,占卜师（易者）,111,5,0.045,116,0.0136,0.0006,101,0.9099,10,0.0901
85,星熊勇仪,107,12,0.1121,119,0.0132,0.0015,83,0.7757,24,0.2243
86,斯塔萨菲雅,102,8,0.0784,110,0.0125,0.001,97,0.951,5,0.049
87,高丽野阿吽,100,2,0.02,102,0.0123,0.0003,86,0.86,14,0.14
88,秋静叶,97,8,0.0825,105,0.0119,0.001,84,0.866,13,0.134
89,苏我屠自古,95,13,0.1368,108,0.0117,0.0016,49,0.5158,46,0.4842
90,今泉影狼,93,6,0.0645,99,0.0114,0.0008,84,0.9032,9,0.0968
91,幽谷响子,90,2,0.0222,92,0.0111,0.0003,81,0.9,9,0.1
92,娜兹玲,87,13,0.1494,100,0.0107,0.0016,70,0.8046,17,0.1954
92,爱塔妮缇拉尔瓦,87,7,0.0805,94,0.0107,0.0009,71,0.8161,16,0.1839
94,若鹭姬,84,12,0.1429,96,0.0103,0.0015,70,0.8333,14,0.1667
94,秋穰子,84,6,0.0714,90,0.0103,0.0008,75,0.8929,9,0.1071
94,戎璎花,84,3,0.0357,87,0.0103,0.0004,59,0.7024,25,0.2976
97,梅蒂欣·梅兰可莉,77,12,0.1558,89,0.0095,0.0015,55,0.7143,22,0.2857
98,矢田寺成美,73,4,0.0548,77,0.009,0.0005,51,0.6986,22,0.3014
99,桑尼米尔克,68,8,0.1176,76,0.0084,0.001,63,0.9265,5,0.0735
100,莉格露·奈特巴格,61,14,0.2295,75,0.0075,0.0018,48,0.7869,13,0.2131
100,蕾蒂·霍瓦特洛克,61,7,0.1148,68,0.0075,0.0009,49,0.8033,12,0.1967
102,宫古芳香,57,6,0.1053,63,0.007,0.0008,37,0.6491,20,0.3509
102,人偶（含上海人偶、哥利亚人偶）,57,5,0.0877,62,0.007,0.0006,50,0.8772,7,0.1228
104,寅丸星,51,3,0.0588,54,0.0063,0.0004,30,0.5882,21,0.4118
105,毛玉,48,3,0.0625,51,0.0059,0.0004,41,0.8542,7,0.1458
106,清兰,47,3,0.0638,50,0.0058,0.0004,35,0.7447,12,0.2553
106,露娜萨·普莉兹姆利巴,47,1,0.0213,48,0.0058,0.0001,44,0.9362,3,0.0638
108,幻月,46,5,0.1087,51,0.0057,0.0006,38,0.8261,8,0.1739
109,绵月依姬,43,4,0.093,47,0.0053,0.0005,32,0.7442,11,0.2558
109,丁礼田舞,43,0,0.0,43,0.0053,0.0,20,0.4651,23,0.5349
111,绵月丰姬,41,5,0.122,46,0.005,0.0006,33,0.8049,8,0.1951
112,卡娜·安娜贝拉尔,39,4,0.1026,43,0.0048,0.0005,35,0.8974,4,0.1026
113,云居一轮,38,4,0.1053,42,0.0047,0.0005,23,0.6053,15,0.3947
114,魂魄妖忌,37,0,0.0,37,0.0045,0.0,35,0.9459,2,0.0541
114,长相酷似周杰伦的参拜客,37,0,0.0,37,0.0045,0.0,35,0.9459,2,0.0541
114,尔子田里乃,37,0,0.0,37,0.0045,0.0,23,0.6216,14,0.3784
117,九十九八桥,34,2,0.0588,36,0.0042,0.0003,27,0.7941,7,0.2059
118,黑谷山女,33,4,0.1212,37,0.0041,0.0005,29,0.8788,4,0.1212
118,无名的读书妖怪（朱鹭子）,33,2,0.0606,35,0.0041,0.0003,30,0.9091,3,0.0909
120,萨丽爱尔,31,6,0.1935,37,0.0038,0.0008,25,0.8065,6,0.1935
121,铃瑚,29,1,0.0345,30,0.0036,0.0001,21,0.7241,8,0.2759
122,爱莲,27,4,0.1481,31,0.0033,0.0005,17,0.6296,10,0.3704
122,牛崎润美,27,0,0.0,27,0.0033,0.0,17,0.6296,10,0.3704
124,莉莉卡·普莉兹姆利巴,24,0,0.0,24,0.003,0.0,21,0.875,3,0.125
125,梅露兰·普莉兹姆利巴,21,2,0.0952,23,0.0026,0.0003,18,0.8571,3,0.1429
125,蕾拉·普莉兹姆利巴,21,2,0.0952,23,0.0026,0.0003,15,0.7143,6,0.2857
125,北白河千百合,21,2,0.0952,23,0.0026,0.0003,16,0.7619,5,0.2381
128,梦子,20,0,0.0,20,0.0025,0.0,18,0.9,2,0.1
129,非想天则,17,1,0.0588,18,0.0021,0.0001,16,0.9412,1,0.0588
130,雪,16,0,0.0,16,0.002,0.0,14,0.875,2,0.125
131,梦月,15,3,0.2,18,0.0018,0.0004,13,0.8667,2,0.1333
131,里香,15,2,0.1333,17,0.0018,0.0003,10,0.6667,5,0.3333
131,小兔姬,15,1,0.0667,16,0.0018,0.0001,7,0.4667,8,0.5333
131,艾丽,15,1,0.0667,16,0.0018,0.0001,14,0.9333,1,0.0667
131,大鲶鱼,15,0,0.0,15,0.0018,0.0,14,0.9333,1,0.0667
131,明罗,15,0,0.0,15,0.0018,0.0,9,0.6,6,0.4
131,胡桃,15,0,0.0,15,0.0018,0.0,12,0.8,3,0.2
138,矜羯罗,14,2,0.1429,16,0.0017,0.0003,10,0.7143,4,0.2857
138,动物灵（含野狼、水獭、大鹫）,14,1,0.0714,15,0.0017,0.0001,11,0.7857,3,0.2143
138,朝仓理香子,14,0,0.0,14,0.0017,0.0,9,0.6429,5,0.3571
138,坂田合欢乃,14,0,0.0,14,0.0017,0.0,12,0.8571,2,0.1429
142,龙神,12,1,0.0833,13,0.0015,0.0001,11,0.9167,1,0.0833
142,茨木童子之臂,12,0,0.0,12,0.0015,0.0,10,0.8333,2,0.1667
144,琪斯美,11,1,0.0909,12,0.0014,0.0001,9,0.8182,2,0.1818
144,玄爷,11,0,0.0,11,0.0014,0.0,11,1.0,0,0.0
144,妖精（含持花妖精，僵尸妖精）,11,0,0.0,11,0.0014,0.0,11,1.0,0,0.0
144,假扮魔理沙的妖狐,11,0,0.0,11,0.0014,0.0,11,1.0,0,0.0
148,云山,10,0,0.0,10,0.0012,0.0,9,0.9,1,0.1
149,STG作品中没有名称的角色,9,0,0.0,9,0.0011,0.0,8,0.8889,1,0.1111
150,依莉斯,8,1,0.125,9,0.001,0.0001,6,0.75,2,0.25
150,Reisen,8,1,0.125,9,0.001,0.0001,8,1.0,0,0.0
150,UFO,8,1,0.125,9,0.001,0.0001,8,1.0,0,0.0
150,秦河胜,8,0,0.0,8,0.001,0.0,6,0.75,2,0.25
150,留琴,8,0,0.0,8,0.001,0.0,8,1.0,0,0.0
155,求闻史纪中的受访人群,6,0,0.0,6,0.0007,0.0,6,1.0,0,0.0
155,酒吧老板,6,0,0.0,6,0.0007,0.0,6,1.0,0,0.0
157,露易兹,5,1,0.2,6,0.0006,0.0001,4,0.8,1,0.2
157,命莲,5,0,0.0,5,0.0006,0.0,5,1.0,0,0.0
157,神玉,5,0,0.0,5,0.0006,0.0,2,0.4,3,0.6
157,菊理,5,0,0.0,5,0.0006,0.0,2,0.4,3,0.6
157,万岁乐,5,0,0.0,5,0.0006,0.0,5,1.0,0,0.0
157,嫦娥,5,0,0.0,5,0.0006,0.0,3,0.6,2,0.4
163,奥莲姬,4,1,0.25,5,0.0005,0.0001,4,1.0,0,0.0
163,黄帝,4,0,0.0,4,0.0005,0.0,4,1.0,0,0.0
163,幽玄魔眼,4,0,0.0,4,0.0005,0.0,3,0.75,1,0.25
163,邪眼西格玛,4,0,0.0,4,0.0005,0.0,2,0.5,2,0.5
163,读书狐狸,4,0,0.0,4,0.0005,0.0,4,1.0,0,0.0
163,幽灵,4,0,0.0,4,0.0005,0.0,3,0.75,1,0.25
163,阴阳玉,4,0,0.0,4,0.0005,0.0,4,1.0,0,0.0
163,杀死大老爷的侍童,4,0,0.0,4,0.0005,0.0,3,0.75,1,0.25
171,舞,3,1,0.3333,4,0.0004,0.0001,2,0.6667,1,0.3333
171,木花咲耶姬,3,1,0.3333,4,0.0004,0.0001,3,1.0,0,0.0
171,彭祖,3,0,0.0,3,0.0004,0.0,2,0.6667,1,0.3333
171,月夜见,3,0,0.0,3,0.0004,0.0,3,1.0,0,0.0
171,酒虫,3,0,0.0,3,0.0004,0.0,3,1.0,0,0.0
171,卓柏卡布拉,3,0,0.0,3,0.0004,0.0,3,1.0,0,0.0
171,酒吧客人,3,0,0.0,3,0.0004,0.0,3,1.0,0,0.0
178,苏格拉底,2,1,0.5,3,0.0002,0.0001,2,1.0,0,0.0
178,岩笠,2,1,0.5,3,0.0002,0.0001,2,1.0,0,0.0
178,绿巨人,2,0,0.0,2,0.0002,0.0,2,1.0,0,0.0
178,石长姬,2,0,0.0,2,0.0002,0.0,2,1.0,0,0.0
178,野槌,2,0,0.0,2,0.0002,0.0,1,0.5,1,0.5
178,运松翁,2,0,0.0,2,0.0002,0.0,2,1.0,0,0.0
178,邪龙,2,0,0.0,2,0.0002,0.0,2,1.0,0,0.0
178,稻荷大人,2,0,0.0,2,0.0002,0.0,2,1.0,0,0.0
178,怨灵,2,0,0.0,2,0.0002,0.0,2,1.0,0,0.0
178,河童（含山童）,2,0,0.0,2,0.0002,0.0,2,1.0,0,0.0
178,妖怪兔,2,0,0.0,2,0.0002,0.0,2,1.0,0,0.0
178,导航,2,0,0.0,2,0.0002,0.0,2,1.0,0,0.0
190,阿菊,1,0,0.0,1,0.0001,0.0,1,1.0,0,0.0
190,Flower～战车,1,0,0.0,1,0.0001,0.0,1,1.0,0,0.0
190,咪咪号,1,0,0.0,1,0.0001,0.0,1,1.0,0,0.0
190,玛○奇,1,0,0.0,1,0.0001,0.0,1,1.0,0,0.0
190,萨拉,1,0,0.0,1,0.0001,0.0,1,1.0,0,0.0
190,雷兽（务光）,1,0,0.0,1,0.0001,0.0,1,1.0,0,0.0
190,狸猫,1,0,0.0,1,0.0001,0.0,1,1.0,0,0.0
190,地精,1,0,0.0,1,0.0001,0.0,1,1.0,0,0.0
190,兜风四人组,1,0,0.0,1,0.0001,0.0,1,1.0,0,0.0
190,百鬼夜行绘卷妖怪（黑鬼）,1,0,0.0,1,0.0001,0.0,1,1.0,0,0.0
190,睡鼠,1,0,0.0,1,0.0001,0.0,0,0.0,1,1.0
201,八尺大人,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
201,尼西号,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
201,天照大御神,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
201,石凝老命,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
201,天宇受卖命,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
201,伊豆能卖,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
201,火雷神,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
201,瑞江浦岛子,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
201,前鬼 / 后鬼,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
201,久米 / 竿打,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
201,管狐,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
201,水鬼鬼神长,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
201,人面犬,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
201,烟烟罗,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
201,沓颊,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
201,怨灵少女,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
201,佑天上人,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
201,白仙和尚,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
201,野铁炮,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
201,座敷童子,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
201,盐家老板,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
201,马凭,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
201,竹扫帚付丧神,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
201,大老爷,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
201,卖脚婆,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
201,袈裟罗婆娑罗,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
201,饿神,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0
