名次,角色名,票数,本命数,本命率,本命加权,票数占比,本命占比,男性数,男性比例,女性数,女性比例
1,博丽灵梦,2675,519,0.194,3194,0.3288,0.0656,2223,0.831,451,0.1686
2,古明地恋,2309,565,0.2447,2874,0.2838,0.0714,1978,0.8566,331,0.1434
3,雾雨魔理沙,2294,407,0.1774,2701,0.282,0.0515,1887,0.8226,406,0.177
4,十六夜咲夜,1621,300,0.1851,1921,0.1993,0.0379,1370,0.8452,250,0.1542
5,古明地觉,1597,297,0.186,1894,0.1963,0.0376,1371,0.8585,226,0.1415
6,蕾米莉亚·斯卡蕾特,1568,267,0.1703,1835,0.1927,0.0338,1360,0.8673,207,0.132
7,东风谷早苗,1425,243,0.1705,1668,0.1752,0.0307,1255,0.8807,169,0.1186
8,八云紫,1375,230,0.1673,1605,0.169,0.0291,1137,0.8269,236,0.1716
9,爱丽丝·玛格特洛依德,1353,267,0.1973,1620,0.1663,0.0338,1132,0.8367,221,0.1633
10,西行寺幽幽子,1341,301,0.2245,1642,0.1648,0.0381,1107,0.8255,234,0.1745
11,藤原妹红,1337,234,0.175,1571,0.1644,0.0296,1034,0.7734,303,0.2266
12,射命丸文,1335,257,0.1925,1592,0.1641,0.0325,1148,0.8599,187,0.1401
13,魂魄妖梦,1326,224,0.1689,1550,0.163,0.0283,1185,0.8937,140,0.1056
14,芙兰朵露·斯卡蕾特,1289,269,0.2087,1558,0.1585,0.034,1078,0.8363,210,0.1629
15,秦心,1064,120,0.1128,1184,0.1308,0.0152,934,0.8778,130,0.1222
16,比那名居天子,1053,211,0.2004,1264,0.1294,0.0267,941,0.8936,112,0.1064
17,铃仙·优昙华院·因幡,967,150,0.1551,1117,0.1189,0.019,864,0.8935,103,0.1065
18,琪露诺,951,175,0.184,1126,0.1169,0.0221,849,0.8927,102,0.1073
19,帕秋莉·诺蕾姬,873,155,0.1775,1028,0.1073,0.0196,736,0.8431,137,0.1569
20,蓬莱山辉夜,802,126,0.1571,928,0.0986,0.0159,634,0.7905,168,0.2095
21,埴安神袿姬,801,44,0.0549,845,0.0985,0.0056,650,0.8115,151,0.1885
